Source,Target,Type,Label,Weight
"Arthur Schnitzler","Marie Herzfeld","Directed","Arthur Schnitzler an Marie Herzfeld","3"
"Marie Herzfeld","Arthur Schnitzler","Directed","Marie Herzfeld an Arthur Schnitzler","8"
"Arthur Schnitzler","Auguste Hauschner","Directed","Arthur Schnitzler an Auguste Hauschner","3"
"Auguste Hauschner","Arthur Schnitzler","Directed","Auguste Hauschner an Arthur Schnitzler","3"
"Arthur Schnitzler","Karin Michaëlis","Directed","Arthur Schnitzler an Karin Michaëlis","1"
"Karin Michaëlis","Arthur Schnitzler","Directed","Karin Michaëlis an Arthur Schnitzler","1"
"Marie von Ebner-Eschenbach","Arthur Schnitzler","Directed","Marie von Ebner-Eschenbach an Arthur Schnitzler","2"
"Arthur Schnitzler","Therese Rie-Andro","Directed","Arthur Schnitzler an Therese Rie-Andro","1"
"Therese Rie-Andro","Arthur Schnitzler","Directed","Therese Rie-Andro an Arthur Schnitzler","10"
"Arthur Schnitzler","Ludwig Ganghofer","Directed","Arthur Schnitzler an Ludwig Ganghofer","1"
"Ludwig Ganghofer","Arthur Schnitzler","Directed","Ludwig Ganghofer an Arthur Schnitzler","1"
"Arthur Schnitzler","Adalbert Franz Seligmann","Directed","Arthur Schnitzler an Adalbert Franz Seligmann","3"
"Adalbert Franz Seligmann","Arthur Schnitzler","Directed","Adalbert Franz Seligmann an Arthur Schnitzler","6"
"Ferdinand von Saar","Arthur Schnitzler","Directed","Ferdinand von Saar an Arthur Schnitzler","7"
"Arthur Schnitzler","Robert Adam","Directed","Arthur Schnitzler an Robert Adam","61"
"Robert Adam","Arthur Schnitzler","Directed","Robert Adam an Arthur Schnitzler","50"
"Arthur Schnitzler","Peter Altenberg","Directed","Arthur Schnitzler an Peter Altenberg","2"
"Peter Altenberg","Arthur Schnitzler","Directed","Peter Altenberg an Arthur Schnitzler","19"
"Arthur Schnitzler","Lou Andreas-Salomé","Directed","Arthur Schnitzler an Lou Andreas-Salomé","2"
"Lou Andreas-Salomé","Arthur Schnitzler","Directed","Lou Andreas-Salomé an Arthur Schnitzler","22"
"Arthur Schnitzler","Hermann Bahr","Directed","Arthur Schnitzler an Hermann Bahr","156"
"Hermann Bahr","Arthur Schnitzler","Directed","Hermann Bahr an Arthur Schnitzler","203"
"Arthur Schnitzler","Richard Beer-Hofmann","Directed","Arthur Schnitzler an Richard Beer-Hofmann","555"
"Richard Beer-Hofmann","Arthur Schnitzler","Directed","Richard Beer-Hofmann an Arthur Schnitzler","286"
"Arthur Schnitzler","Franz Blei","Directed","Arthur Schnitzler an Franz Blei","2"
"Franz Blei","Arthur Schnitzler","Directed","Franz Blei an Arthur Schnitzler","8"
"Oskar Blumenthal","Arthur Schnitzler","Directed","Oskar Blumenthal an Arthur Schnitzler","11"
"Arthur Schnitzler","Georg Brandes","Directed","Arthur Schnitzler an Georg Brandes","58"
"Georg Brandes","Arthur Schnitzler","Directed","Georg Brandes an Arthur Schnitzler","57"
"Arthur Schnitzler","Felix Braun","Directed","Arthur Schnitzler an Felix Braun","6"
"Felix Braun","Arthur Schnitzler","Directed","Felix Braun an Arthur Schnitzler","11"
"Arthur Schnitzler","Max Eugen Burckhard","Directed","Arthur Schnitzler an Max Eugen Burckhard","4"
