Source,Target,Type,Label,Weight
"Max Eugen Burckhard","Wiener Verlag","Directed","Max Eugen Burckhard–Wiener Verlag","4"
"Max Eugen Burckhard","Burgtheater","Directed","Max Eugen Burckhard–Burgtheater","3"
"Max Eugen Burckhard","Österreichische Nationalbibliothek","Directed","Max Eugen Burckhard–Österreichische Nationalbibliothek","2"
"Max Eugen Burckhard","S. Fischer Verlag","Directed","Max Eugen Burckhard–S. Fischer Verlag","2"
"Max Eugen Burckhard","J.G. Cotta’sche Buchhandlung Nachfolger","Directed","Max Eugen Burckhard–J.G. Cotta’sche Buchhandlung Nachfolger","1"
"Max Eugen Burckhard","Pester Lloyd","Directed","Max Eugen Burckhard–Pester Lloyd","1"
"Max Eugen Burckhard","Rütten & Loening","Directed","Max Eugen Burckhard–Rütten & Loening","1"
"Max Eugen Burckhard","A. Entsch","Directed","Max Eugen Burckhard–A. Entsch","1"
"Max Eugen Burckhard","Grillparzer-Gesellschaft","Directed","Max Eugen Burckhard–Grillparzer-Gesellschaft","1"
"Max Eugen Burckhard","Halkyone-Verlag","Directed","Max Eugen Burckhard–Halkyone-Verlag","1"
"Max Eugen Burckhard","Puttkammer & Mühlbrecht, Buchhandlung für Staats- und Rechtswissenschaft","Directed","Max Eugen Burckhard–Puttkammer & Mühlbrecht, Buchhandlung für Staats- und Rechtswissenschaft","1"
"Max Eugen Burckhard","Deutsch-Österreichischer Verlag","Directed","Max Eugen Burckhard–Deutsch-Österreichischer Verlag","1"
"Max Eugen Burckhard","F. Tempsky","Directed","Max Eugen Burckhard–F. Tempsky","1"
"Max Eugen Burckhard","G. Freytag","Directed","Max Eugen Burckhard–G. Freytag","1"
