Source,CorrID,Target,OrgID,Overallcount,Type,Label,Weight
"Paul Goldmann","11485","Frankfurter Zeitung","29442","188","Directed","Paul Goldmann–Frankfurter Zeitung","172"
"Paul Goldmann","11485","Neue Freie Presse","29351","72","Directed","Paul Goldmann–Neue Freie Presse","43"
"Paul Goldmann","11485","Burgtheater","36247","62","Directed","Paul Goldmann–Burgtheater","29"
"Paul Goldmann","11485","An der schönen blauen Donau","29698","15","Directed","Paul Goldmann–An der schönen blauen Donau","14"
"Paul Goldmann","11485","Volkstheater","36430","20","Directed","Paul Goldmann–Volkstheater","14"
"Paul Goldmann","11485","Josef Eberle Stein-, Buch und Musikaliendruckerei","53104","14","Directed","Paul Goldmann–Josef Eberle Stein-, Buch und Musikaliendruckerei","14"
"Paul Goldmann","11485","Die Zeit. Wiener Wochenschrift","29209","67","Directed","Paul Goldmann–Die Zeit. Wiener Wochenschrift","12"
"Paul Goldmann","11485","Deutsches Theater Berlin","35597","14","Directed","Paul Goldmann–Deutsches Theater Berlin","10"
"Paul Goldmann","11485","Berliner Tageblatt","29329","13","Directed","Paul Goldmann–Berliner Tageblatt","9"
"Paul Goldmann","11485","Journal des débats","29221","5","Directed","Paul Goldmann–Journal des débats","5"
"Paul Goldmann","11485","Vossische Zeitung","29331","9","Directed","Paul Goldmann–Vossische Zeitung","5"
"Paul Goldmann","11485","Bayreuther Festspiele","29811","5","Directed","Paul Goldmann–Bayreuther Festspiele","5"
"Paul Goldmann","11485","Schiller-Theater","57124","7","Directed","Paul Goldmann–Schiller-Theater","5"
"Paul Goldmann","11485","Théâtre de l’Œuvre","88605","5","Directed","Paul Goldmann–Théâtre de l’Œuvre","5"
"Paul Goldmann","11485","Théâtre Libre","88609","5","Directed","Paul Goldmann–Théâtre Libre","5"
"Paul Goldmann","11485","Überbrettl","144041","5","Directed","Paul Goldmann–Überbrettl","5"
"Paul Goldmann","11485","Reichstag","144185","5","Directed","Paul Goldmann–Reichstag","5"
"Paul Goldmann","11485","Die Zeit","29626","26","Directed","Paul Goldmann–Die Zeit","4"
"Paul Goldmann","11485","Albert Langen","29654","5","Directed","Paul Goldmann–Albert Langen","4"
"Paul Goldmann","11485","Französische Abgeordnetenkammer","92784","4","Directed","Paul Goldmann–Französische Abgeordnetenkammer","4"
"Paul Goldmann","11485","Jung-Wiener Theater zum Lieben Augustin","143199","11","Directed","Paul Goldmann–Jung-Wiener Theater zum Lieben Augustin","4"
"Paul Goldmann","11485","Die Presse","29270","5","Directed","Paul Goldmann–Die Presse","3"
"Paul Goldmann","11485","Berliner Theater","29380","3","Directed","Paul Goldmann–Berliner Theater","3"
"Paul Goldmann","11485","Wiener Verlag","29636","14","Directed","Paul Goldmann–Wiener Verlag","3"
"Paul Goldmann","11485","S. Fischer Verlag","29639","76","Directed","Paul Goldmann–S. Fischer Verlag","3"
"Paul Goldmann","11485","Wiener Allgemeine Zeitung","29670","23","Directed","Paul Goldmann–Wiener Allgemeine Zeitung","3"
"Paul Goldmann","11485","Tägliche Rundschau","29691","3","Directed","Paul Goldmann–Tägliche Rundschau","3"
"Paul Goldmann","11485","Nouvelle Revue","34277","4","Directed","Paul Goldmann–Nouvelle Revue","3"
"Paul Goldmann","11485","Lessing-Theater","35053","25","Directed","Paul Goldmann–Lessing-Theater","3"
"Paul Goldmann","11485","Schauspielhaus Berlin","55522","3","Directed","Paul Goldmann–Schauspielhaus Berlin","3"
