Source,CorrID,Target,OrgID,Overallcount,Type,Label,Weight
"Hugo von Hofmannsthal","11740","S. Fischer Verlag","29639","76","Directed","Hugo von Hofmannsthal–S. Fischer Verlag","15"
"Hugo von Hofmannsthal","11740","Burgtheater","36247","62","Directed","Hugo von Hofmannsthal–Burgtheater","11"
"Hugo von Hofmannsthal","11740","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","29212","9","Directed","Hugo von Hofmannsthal–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","4"
"Hugo von Hofmannsthal","11740","Neue Freie Presse","29351","72","Directed","Hugo von Hofmannsthal–Neue Freie Presse","4"
"Hugo von Hofmannsthal","11740","Deutsche Zeitung","29424","11","Directed","Hugo von Hofmannsthal–Deutsche Zeitung","4"
"Hugo von Hofmannsthal","11740","Bibliographisches Bureau","29716","6","Directed","Hugo von Hofmannsthal–Bibliographisches Bureau","4"
"Hugo von Hofmannsthal","11740","Die Zeit. Wiener Wochenschrift","29209","67","Directed","Hugo von Hofmannsthal–Die Zeit. Wiener Wochenschrift","3"
"Hugo von Hofmannsthal","11740","Allgemeine Bodencreditanstalt","29244","3","Directed","Hugo von Hofmannsthal–Allgemeine Bodencreditanstalt","3"
"Hugo von Hofmannsthal","11740","Wiener Akademische Vereinigung","29614","3","Directed","Hugo von Hofmannsthal–Wiener Akademische Vereinigung","3"
"Hugo von Hofmannsthal","11740","Concordia","29752","9","Directed","Hugo von Hofmannsthal–Concordia","3"
"Hugo von Hofmannsthal","11740","Morgen. Wochenschrift für deutsche Kultur","34262","4","Directed","Hugo von Hofmannsthal–Morgen. Wochenschrift für deutsche Kultur","3"
"Hugo von Hofmannsthal","11740","Raimund-Preis","29444","2","Directed","Hugo von Hofmannsthal–Raimund-Preis","2"
"Hugo von Hofmannsthal","11740","Carl Steinhardt & Co.","29612","2","Directed","Hugo von Hofmannsthal–Carl Steinhardt & Co.","2"
"Hugo von Hofmannsthal","11740","Adolf Bonz & Comp.","29619","2","Directed","Hugo von Hofmannsthal–Adolf Bonz & Comp.","2"
"Hugo von Hofmannsthal","11740","Franz-Grillparzer-Preis","29677","14","Directed","Hugo von Hofmannsthal–Franz-Grillparzer-Preis","2"
"Hugo von Hofmannsthal","11740","»Freie Bühne« Verein für moderne Literatur","29781","9","Directed","Hugo von Hofmannsthal–»Freie Bühne« Verein für moderne Literatur","2"
"Hugo von Hofmannsthal","11740","Orientalische Akademie","34272","2","Directed","Hugo von Hofmannsthal–Orientalische Akademie","2"
"Hugo von Hofmannsthal","11740","Deutsches Theater Berlin","35597","14","Directed","Hugo von Hofmannsthal–Deutsches Theater Berlin","2"
"Hugo von Hofmannsthal","11740","Südbahnstrecke","41943","7","Directed","Hugo von Hofmannsthal–Südbahnstrecke","2"
"Hugo von Hofmannsthal","11740","Ebner-Eschenbach-Stiftung","46791","2","Directed","Hugo von Hofmannsthal–Ebner-Eschenbach-Stiftung","2"
"Hugo von Hofmannsthal","11740","Erich-Reiss-Verlag","65371","4","Directed","Hugo von Hofmannsthal–Erich-Reiss-Verlag","2"
"Hugo von Hofmannsthal","11740","Manz’sche Verlags- und Universitätsbuchhandlung","29216","1","Directed","Hugo von Hofmannsthal–Manz’sche Verlags- und Universitätsbuchhandlung","1"
"Hugo von Hofmannsthal","11740","Bazar de la Charité","29248","1","Directed","Hugo von Hofmannsthal–Bazar de la Charité","1"
"Hugo von Hofmannsthal","11740","Weltausstellung 1893","29318","1","Directed","Hugo von Hofmannsthal–Weltausstellung 1893","1"
"Hugo von Hofmannsthal","11740","Berliner Börsen-Courier","29406","7","Directed","Hugo von Hofmannsthal–Berliner Börsen-Courier","1"
"Hugo von Hofmannsthal","11740","Frankfurter Zeitung","29442","188","Directed","Hugo von Hofmannsthal–Frankfurter Zeitung","1"
"Hugo von Hofmannsthal","11740","J. Eisenstein & Co.","29461","3","Directed","Hugo von Hofmannsthal–J. Eisenstein & Co.","1"
"Hugo von Hofmannsthal","11740","Österreichische Rundschau","29496","5","Directed","Hugo von Hofmannsthal–Österreichische Rundschau","1"
"Hugo von Hofmannsthal","11740","Hyperion","29552","6","Directed","Hugo von Hofmannsthal–Hyperion","1"
"Hugo von Hofmannsthal","11740","Deutschösterreichischer Autorenverband","29594","4","Directed","Hugo von Hofmannsthal–Deutschösterreichischer Autorenverband","1"
"Hugo von Hofmannsthal","11740","Linzer Volksblatt","29610","1","Directed","Hugo von Hofmannsthal–Linzer Volksblatt","1"
"Hugo von Hofmannsthal","11740","Allgemeine Theater-Revue für Bühne und Welt. Illustrierte Halbmonatsschrift","29620","2","Directed","Hugo von Hofmannsthal–Allgemeine Theater-Revue für Bühne und Welt. Illustrierte Halbmonatsschrift","1"
"Hugo von Hofmannsthal","11740","Wiener Abendpost","29622","1","Directed","Hugo von Hofmannsthal–Wiener Abendpost","1"
"Hugo von Hofmannsthal","11740","An der schönen blauen Donau","29698","15","Directed","Hugo von Hofmannsthal–An der schönen blauen Donau","1"
"Hugo von Hofmannsthal","11740","Wiener Literatur-Zeitung","29715","1","Directed","Hugo von Hofmannsthal–Wiener Literatur-Zeitung","1"
"Hugo von Hofmannsthal","11740","Rikola Verlag","29758","2","Directed","Hugo von Hofmannsthal–Rikola Verlag","1"
"Hugo von Hofmannsthal","11740","E. Pierson’s Verlag","29771","4","Directed","Hugo von Hofmannsthal–E. Pierson’s Verlag","1"
"Hugo von Hofmannsthal","11740","Österreichischer Gewerbeverein","29778","1","Directed","Hugo von Hofmannsthal–Österreichischer Gewerbeverein","1"
"Hugo von Hofmannsthal","11740","Čecho-slavische ethnographische Ausstellung","33911","1","Directed","Hugo von Hofmannsthal–Čecho-slavische ethnographische Ausstellung","1"
"Hugo von Hofmannsthal","11740","Musikverlag Adolph Fürstner","34146","1","Directed","Hugo von Hofmannsthal–Musikverlag Adolph Fürstner","1"
"Hugo von Hofmannsthal","11740","Fanfulla della domenica","34229","1","Directed","Hugo von Hofmannsthal–Fanfulla della domenica","1"
"Hugo von Hofmannsthal","11740","Nouvelle Revue","34277","4","Directed","Hugo von Hofmannsthal–Nouvelle Revue","1"
"Hugo von Hofmannsthal","11740","Hoch- und Deutschmeisterkapelle","34379","1","Directed","Hugo von Hofmannsthal–Hoch- und Deutschmeisterkapelle","1"
"Hugo von Hofmannsthal","11740","28. Congress der deutschen Gesellschaft für Chirurgie","36278","1","Directed","Hugo von Hofmannsthal–28. Congress der deutschen Gesellschaft für Chirurgie","1"
"Hugo von Hofmannsthal","11740","Volkstheater","36430","20","Directed","Hugo von Hofmannsthal–Volkstheater","1"
"Hugo von Hofmannsthal","11740","Staatsoper","36687","1","Directed","Hugo von Hofmannsthal–Staatsoper","1"
"Hugo von Hofmannsthal","11740","Zentralstelle der Bühnen-Autoren und -Verleger","36900","1","Directed","Hugo von Hofmannsthal–Zentralstelle der Bühnen-Autoren und -Verleger","1"
"Hugo von Hofmannsthal","11740","Wiener freiwillige Rettungsgesellschaft","36931","1","Directed","Hugo von Hofmannsthal–Wiener freiwillige Rettungsgesellschaft","1"
"Hugo von Hofmannsthal","11740","Theater in der Josefstadt","39689","2","Directed","Hugo von Hofmannsthal–Theater in der Josefstadt","1"
"Hugo von Hofmannsthal","11740","Wenzel Swatek","40036","3","Directed","Hugo von Hofmannsthal–Wenzel Swatek","1"
"Hugo von Hofmannsthal","11740","Eton College","40424","1","Directed","Hugo von Hofmannsthal–Eton College","1"
"Hugo von Hofmannsthal","11740","Gebrüder Rodeck","40687","1","Directed","Hugo von Hofmannsthal–Gebrüder Rodeck","1"
"Hugo von Hofmannsthal","11740","Westbahnstrecke","41229","3","Directed","Hugo von Hofmannsthal–Westbahnstrecke","1"
"Hugo von Hofmannsthal","11740","Wiener Schachclub","43143","12","Directed","Hugo von Hofmannsthal–Wiener Schachclub","1"
"Hugo von Hofmannsthal","11740","Internationales Komitee vom Roten Kreuz","43466","1","Directed","Hugo von Hofmannsthal–Internationales Komitee vom Roten Kreuz","1"
"Hugo von Hofmannsthal","11740","Gustav Grimm Verlag","43470","1","Directed","Hugo von Hofmannsthal–Gustav Grimm Verlag","1"
"Hugo von Hofmannsthal","11740","Über Land und Meer","43477","1","Directed","Hugo von Hofmannsthal–Über Land und Meer","1"
"Hugo von Hofmannsthal","11740","Accademia di belle arti di Venezia","44602","4","Directed","Hugo von Hofmannsthal–Accademia di belle arti di Venezia","1"
"Hugo von Hofmannsthal","11740","Opernballett","44690","1","Directed","Hugo von Hofmannsthal–Opernballett","1"
"Hugo von Hofmannsthal","11740","Neue akademische Vereinigung","46259","1","Directed","Hugo von Hofmannsthal–Neue akademische Vereinigung","1"
"Hugo von Hofmannsthal","11740","Ministerium für Äußeres","47747","2","Directed","Hugo von Hofmannsthal–Ministerium für Äußeres","1"
"Hugo von Hofmannsthal","11740","Phaidon-Verlag","48752","2","Directed","Hugo von Hofmannsthal–Phaidon-Verlag","1"
"Hugo von Hofmannsthal","11740","Ruprecht-Karls-Universität Heidelberg","51306","1","Directed","Hugo von Hofmannsthal–Ruprecht-Karls-Universität Heidelberg","1"
