Source,Target,ID,Type,Label,Weight
"Arthur Schnitzler","Marie Herzfeld","11666","Directed","Arthur Schnitzler an Marie Herzfeld","3"
"Marie Herzfeld","Arthur Schnitzler","11666","Directed","Marie Herzfeld an Arthur Schnitzler","8"
"Arthur Schnitzler","Auguste Hauschner","2524","Directed","Arthur Schnitzler an Auguste Hauschner","3"
"Auguste Hauschner","Arthur Schnitzler","2524","Directed","Auguste Hauschner an Arthur Schnitzler","3"
"Arthur Schnitzler","Karin Michaëlis","4408","Directed","Arthur Schnitzler an Karin Michaëlis","1"
"Karin Michaëlis","Arthur Schnitzler","4408","Directed","Karin Michaëlis an Arthur Schnitzler","1"
"Marie von Ebner-Eschenbach","Arthur Schnitzler","11216","Directed","Marie von Ebner-Eschenbach an Arthur Schnitzler","2"
"Arthur Schnitzler","Therese Rie-Andro","4836","Directed","Arthur Schnitzler an Therese Rie-Andro","1"
"Therese Rie-Andro","Arthur Schnitzler","4836","Directed","Therese Rie-Andro an Arthur Schnitzler","10"
"Arthur Schnitzler","Ludwig Ganghofer","11402","Directed","Arthur Schnitzler an Ludwig Ganghofer","1"
"Ludwig Ganghofer","Arthur Schnitzler","11402","Directed","Ludwig Ganghofer an Arthur Schnitzler","1"
"Arthur Schnitzler","Adalbert Franz Seligmann","12769","Directed","Arthur Schnitzler an Adalbert Franz Seligmann","3"
"Adalbert Franz Seligmann","Arthur Schnitzler","12769","Directed","Adalbert Franz Seligmann an Arthur Schnitzler","6"
"Ferdinand von Saar","Arthur Schnitzler","12602","Directed","Ferdinand von Saar an Arthur Schnitzler","7"
"Arthur Schnitzler","Robert Adam","12438","Directed","Arthur Schnitzler an Robert Adam","61"
"Robert Adam","Arthur Schnitzler","12438","Directed","Robert Adam an Arthur Schnitzler","50"
"Arthur Schnitzler","Peter Altenberg","2147","Directed","Arthur Schnitzler an Peter Altenberg","2"
"Peter Altenberg","Arthur Schnitzler","2147","Directed","Peter Altenberg an Arthur Schnitzler","19"
"Arthur Schnitzler","Lou Andreas-Salomé","10762","Directed","Arthur Schnitzler an Lou Andreas-Salomé","2"
"Lou Andreas-Salomé","Arthur Schnitzler","10762","Directed","Lou Andreas-Salomé an Arthur Schnitzler","22"
"Arthur Schnitzler","Hermann Bahr","10815","Directed","Arthur Schnitzler an Hermann Bahr","156"
"Hermann Bahr","Arthur Schnitzler","10815","Directed","Hermann Bahr an Arthur Schnitzler","203"
"Arthur Schnitzler","Richard Beer-Hofmann","10863","Directed","Arthur Schnitzler an Richard Beer-Hofmann","555"
"Richard Beer-Hofmann","Arthur Schnitzler","10863","Directed","Richard Beer-Hofmann an Arthur Schnitzler","286"
"Arthur Schnitzler","Franz Blei","10955","Directed","Arthur Schnitzler an Franz Blei","2"
