Source,Target,ID,Type,Label,Weight
"Arthur Schnitzler","Marie Herzfeld","11666","Undirected","Marie Herzfeld","11"
"Arthur Schnitzler","Auguste Hauschner","2524","Undirected","Auguste Hauschner","7"
"Arthur Schnitzler","Karin Michaëlis","4408","Undirected","Karin Michaëlis","2"
"Arthur Schnitzler","Marie von Ebner-Eschenbach","11216","Undirected","Marie von Ebner-Eschenbach","2"
"Arthur Schnitzler","Therese Rie-Andro","4836","Undirected","Therese Rie-Andro","11"
"Arthur Schnitzler","Ludwig Ganghofer","11402","Undirected","Ludwig Ganghofer","2"
"Arthur Schnitzler","Adalbert Franz Seligmann","12769","Undirected","Adalbert Franz Seligmann","9"
"Arthur Schnitzler","Ferdinand von Saar","12602","Undirected","Ferdinand von Saar","7"
"Arthur Schnitzler","Robert Adam","12438","Undirected","Robert Adam","111"
"Arthur Schnitzler","Peter Altenberg","2147","Undirected","Peter Altenberg","29"
"Arthur Schnitzler","Lou Andreas-Salomé","10762","Undirected","Lou Andreas-Salomé","24"
"Arthur Schnitzler","Hermann Bahr","10815","Undirected","Hermann Bahr","363"
"Arthur Schnitzler","Richard Beer-Hofmann","10863","Undirected","Richard Beer-Hofmann","855"
"Arthur Schnitzler","Franz Blei","10955","Undirected","Franz Blei","10"
"Arthur Schnitzler","Oskar Blumenthal","14328","Undirected","Oskar Blumenthal","12"
"Arthur Schnitzler","Georg Brandes","10992","Undirected","Georg Brandes","128"
"Arthur Schnitzler","Felix Braun","11002","Undirected","Felix Braun","17"
"Arthur Schnitzler","Max Eugen Burckhard","11036","Undirected","Max Eugen Burckhard","54"
"Arthur Schnitzler","Wilhelm Bölsche","11061","Undirected","Wilhelm Bölsche","25"
"Arthur Schnitzler","Michael Georg Conrad","11098","Undirected","Michael Georg Conrad","7"
"Arthur Schnitzler","Jakob Julius David","2416","Undirected","Jakob Julius David","10"
"Arthur Schnitzler","Paula Dehmel","2281","Undirected","Paula Dehmel","1"
"Arthur Schnitzler","Richard Dehmel","11148","Undirected","Richard Dehmel","17"
"Arthur Schnitzler","Albert Ehrenstein","11230","Undirected","Albert Ehrenstein","51"
"Arthur Schnitzler","Friedrich M. Fels","2450","Undirected","Friedrich M. Fels","28"
"Arthur Schnitzler","Stefan Grossmann","11527","Undirected","Stefan Grossmann","34"
"Arthur Schnitzler","Gerhart Hauptmann","11617","Undirected","Gerhart Hauptmann","21"
"Arthur Schnitzler","Hugo von Hofmannsthal","11740","Undirected","Hugo von Hofmannsthal","645"
"Arthur Schnitzler","Arno Holz","11763","Undirected","Arno Holz","4"
"Arthur Schnitzler","Eduard Michael Kafka","2563","Undirected","Eduard Michael Kafka","9"
"Arthur Schnitzler","Karl Kraus","11988","Undirected","Karl Kraus","23"
"Arthur Schnitzler","Detlev von Liliencron","12071","Undirected","Detlev von Liliencron","6"
"Arthur Schnitzler","Fedor Mamroth","4986","Undirected","Fedor Mamroth","9"
"Arthur Schnitzler","Thomas Mann","12176","Undirected","Thomas Mann","28"
"Arthur Schnitzler","Laura Marholm","12183","Undirected","Laura Marholm","3"
"Arthur Schnitzler","Max Mell","12225","Undirected","Max Mell","11"
"Arthur Schnitzler","Julius Rodenberg","9550","Undirected","Julius Rodenberg","5"
"Arthur Schnitzler","Frank Wedekind","13068","Undirected","Frank Wedekind","3"
"Arthur Schnitzler","Joseph Victor Widmann","3557","Undirected","Joseph Victor Widmann","7"
"Arthur Schnitzler","Bertha Suttner","12906","Undirected","Bertha Suttner","14"
"Arthur Schnitzler","Paul Goldmann","11485","Undirected","Paul Goldmann","560"
"Arthur Schnitzler","Alfred Polgar","2989","Undirected","Alfred Polgar","1"
"Arthur Schnitzler","Emil Ludwig","12126","Undirected","Emil Ludwig","1"
"Arthur Schnitzler","Else Lasker-Schüler","38973","Undirected","Else Lasker-Schüler","2"
"Arthur Schnitzler","Felix Salten","2167","Undirected","Felix Salten","452"
