Source,CorrID,Target,EventID,Overallcount,Type,Label,Weight
"Berta Zuckerkandl","2312","Privataufführung von La Ronde [Der Reigen], 31.1.1922","334820","1","Directed","Berta Zuckerkandl–Privataufführung von La Ronde [Der Reigen], 31.1.1922","1"
"Berta Zuckerkandl","2312","Premiere von Komödie der Worte auf Deutsch in Paris","334685","1","Directed","Berta Zuckerkandl–Premiere von Komödie der Worte auf Deutsch in Paris","1"
"Berta Zuckerkandl","2312","Generalprobe von Komödie der Worte auf Deutsch in Paris","334674","1","Directed","Berta Zuckerkandl–Generalprobe von Komödie der Worte auf Deutsch in Paris","1"
"Berta Zuckerkandl","2312","X. Vollversammlung des Völkerbundes","334653","1","Directed","Berta Zuckerkandl–X. Vollversammlung des Völkerbundes","1"
"Berta Zuckerkandl","2312","Kongress zur Gründung der Confédération Internationale des Sociétés d'Auteurs et Compositeurs","334396","1","Directed","Berta Zuckerkandl–Kongress zur Gründung der Confédération Internationale des Sociétés d'Auteurs et Compositeurs","1"
"Berta Zuckerkandl","2312","Aufführung von Mein Vater hat recht gehabt, 16.1.1924","256171","1","Directed","Berta Zuckerkandl–Aufführung von Mein Vater hat recht gehabt, 16.1.1924","1"
"Berta Zuckerkandl","2312","Generalprobe von Das weite Land, 13.10.1911","252425","1","Directed","Berta Zuckerkandl–Generalprobe von Das weite Land, 13.10.1911","1"
"Berta Zuckerkandl","2312","Generalprobe von Der Schleier der Beatrice, 22.5.1925","210344","1","Directed","Berta Zuckerkandl–Generalprobe von Der Schleier der Beatrice, 22.5.1925","1"
"Berta Zuckerkandl","2312","Generalprobe von Komödie der Verführung, 10.10.1924","210305","1","Directed","Berta Zuckerkandl–Generalprobe von Komödie der Verführung, 10.10.1924","1"
"Berta Zuckerkandl","2312","Premiere von Der Unbestechliche, 16.3.1923","210222","1","Directed","Berta Zuckerkandl–Premiere von Der Unbestechliche, 16.3.1923","1"
"Berta Zuckerkandl","2312","Premiere von Der Schleier der Pierrette, 16.3.1912","209635","1","Directed","Berta Zuckerkandl–Premiere von Der Schleier der Pierrette, 16.3.1912","1"
"Berta Zuckerkandl","2312","Lesung von Lieutenant Gustl, Fräulein Else, 7.2.1926","183564","1","Directed","Berta Zuckerkandl–Lesung von Lieutenant Gustl, Fräulein Else, 7.2.1926","1"
"Berta Zuckerkandl","2312","Aufführung von Amourette. Piéce an trois actes","135084","1","Directed","Berta Zuckerkandl–Aufführung von Amourette. Piéce an trois actes","1"
"Berta Zuckerkandl","2312","Premiere von Light o’ Love, 14.5.1909","89725","1","Directed","Berta Zuckerkandl–Premiere von Light o’ Love, 14.5.1909","1"
"Berta Zuckerkandl","2312","Premiere von Das weite Land, 14.10.1911 [I.]","88534","3","Directed","Berta Zuckerkandl–Premiere von Das weite Land, 14.10.1911 [I.]","1"
"Berta Zuckerkandl","2312","Premiere von Au Perroquet Vert, 7.11.1903","44739","2","Directed","Berta Zuckerkandl–Premiere von Au Perroquet Vert, 7.11.1903","1"
