Source,CorrID,Target,InstID,Overallcount,Type,Label,Weight
"Rainer Maria Rilke","9531","Burgtheater","36247","81","Directed","Rainer Maria Rilke–Burgtheater","1"
"Rainer Maria Rilke","9531","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Rainer Maria Rilke–Die Zeit. Wiener Wochenschrift [Redaktion]","2"
"Rainer Maria Rilke","9531","Neues Wiener Tagblatt","29414","17","Directed","Rainer Maria Rilke–Neues Wiener Tagblatt","1"
"Rainer Maria Rilke","9531","Albert Langen","29654","8","Directed","Rainer Maria Rilke–Albert Langen","1"
"Emilie Mataja","4223","Deutsches Theater Berlin","35597","32","Directed","Emilie Mataja–Deutsches Theater Berlin","1"
"Theodor von Sosnosky","9941","S. Fischer Verlag","29639","85","Directed","Theodor von Sosnosky–S. Fischer Verlag","1"
"Theodor von Sosnosky","9941","Neues Wiener Tagblatt","29414","17","Directed","Theodor von Sosnosky–Neues Wiener Tagblatt","1"
"Theodor von Sosnosky","9941","Albert Langen","29654","8","Directed","Theodor von Sosnosky–Albert Langen","1"
"Marie Holzer","260732","Franz-Grillparzer-Preis","29677","16","Directed","Marie Holzer–Franz-Grillparzer-Preis","1"
"Gustav Schwarzkopf","12740","Neue Freie Presse","29351","113","Directed","Gustav Schwarzkopf–Neue Freie Presse","2"
"Gustav Schwarzkopf","12740","Burgtheater","36247","81","Directed","Gustav Schwarzkopf–Burgtheater","3"
"Gustav Schwarzkopf","12740","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Gustav Schwarzkopf–Die Zeit. Wiener Wochenschrift [Redaktion]","1"
"Gustav Schwarzkopf","12740","Deutsches Theater Berlin","35597","32","Directed","Gustav Schwarzkopf–Deutsches Theater Berlin","3"
"Gustav Schwarzkopf","12740","Lessing-Theater","35053","32","Directed","Gustav Schwarzkopf–Lessing-Theater","2"
"Gustav Schwarzkopf","12740","Volkstheater","36430","31","Directed","Gustav Schwarzkopf–Volkstheater","4"
"Gustav Schwarzkopf","12740","Wiener Schachclub","43143","14","Directed","Gustav Schwarzkopf–Wiener Schachclub","2"
"Gustav Schwarzkopf","12740","Deutsche Zeitung","29424","12","Directed","Gustav Schwarzkopf–Deutsche Zeitung","1"
"Gustav Schwarzkopf","12740","Raimund-Theater","39666","9","Directed","Gustav Schwarzkopf–Raimund-Theater","1"
"Gustav Schwarzkopf","12740","Südbahnstrecke","41943","8","Directed","Gustav Schwarzkopf–Südbahnstrecke","1"
"Berta Zuckerkandl","2312","S. Fischer Verlag","29639","85","Directed","Berta Zuckerkandl–S. Fischer Verlag","3"
"Berta Zuckerkandl","2312","Burgtheater","36247","81","Directed","Berta Zuckerkandl–Burgtheater","1"
"Berta Zuckerkandl","2312","Paul Zsolnay Verlag","36907","9","Directed","Berta Zuckerkandl–Paul Zsolnay Verlag","2"
"Berta Zuckerkandl","2312","Éditions Stock","29741","9","Directed","Berta Zuckerkandl–Éditions Stock","8"
"Theodor Herzl","11673","Neue Freie Presse","29351","113","Directed","Theodor Herzl–Neue Freie Presse","38"
"Theodor Herzl","11673","S. Fischer Verlag","29639","85","Directed","Theodor Herzl–S. Fischer Verlag","2"
"Theodor Herzl","11673","Burgtheater","36247","81","Directed","Theodor Herzl–Burgtheater","8"
"Theodor Herzl","11673","Deutsches Theater Berlin","35597","32","Directed","Theodor Herzl–Deutsches Theater Berlin","13"
"Theodor Herzl","11673","Lessing-Theater","35053","32","Directed","Theodor Herzl–Lessing-Theater","6"
"Theodor Herzl","11673","Volkstheater","36430","31","Directed","Theodor Herzl–Volkstheater","3"
"Theodor Herzl","11673","Wiener Allgemeine Zeitung","29670","25","Directed","Theodor Herzl–Wiener Allgemeine Zeitung","2"
"Theodor Herzl","11673","Concordia. Journalisten- und Schriftstellerverein","29752","10","Directed","Theodor Herzl–Concordia. Journalisten- und Schriftstellerverein","1"
"Theodor Herzl","11673","Raimund-Theater","39666","9","Directed","Theodor Herzl–Raimund-Theater","6"
"Stefan Zweig","13212","Neue Freie Presse","29351","113","Directed","Stefan Zweig–Neue Freie Presse","1"
"Stefan Zweig","13212","S. Fischer Verlag","29639","85","Directed","Stefan Zweig–S. Fischer Verlag","1"
"Stefan Zweig","13212","Burgtheater","36247","81","Directed","Stefan Zweig–Burgtheater","4"
"Stefan Zweig","13212","Franz-Grillparzer-Preis","29677","16","Directed","Stefan Zweig–Franz-Grillparzer-Preis","1"
"Stefan Zweig","13212","Éditions Stock","29741","9","Directed","Stefan Zweig–Éditions Stock","1"
"Elsa Plessner","2128","S. Fischer Verlag","29639","85","Directed","Elsa Plessner–S. Fischer Verlag","1"
"Elsa Plessner","2128","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Elsa Plessner–Die Zeit. Wiener Wochenschrift [Redaktion]","3"
"Elsa Plessner","2128","Deutsches Theater Berlin","35597","32","Directed","Elsa Plessner–Deutsches Theater Berlin","1"
"Elsa Plessner","2128","Volkstheater","36430","31","Directed","Elsa Plessner–Volkstheater","1"
"Elsa Plessner","2128","Albert Langen","29654","8","Directed","Elsa Plessner–Albert Langen","1"
"Marie Herzfeld","11666","Franz-Grillparzer-Preis","29677","16","Directed","Marie Herzfeld–Franz-Grillparzer-Preis","1"
"Ludwig Ganghofer","11402","Burgtheater","36247","81","Directed","Ludwig Ganghofer–Burgtheater","1"
"Robert Adam","12438","S. Fischer Verlag","29639","85","Directed","Robert Adam–S. Fischer Verlag","5"
"Robert Adam","12438","Burgtheater","36247","81","Directed","Robert Adam–Burgtheater","1"
"Peter Altenberg","2147","S. Fischer Verlag","29639","85","Directed","Peter Altenberg–S. Fischer Verlag","1"
"Hermann Bahr","10815","Neue Freie Presse","29351","113","Directed","Hermann Bahr–Neue Freie Presse","2"
"Hermann Bahr","10815","S. Fischer Verlag","29639","85","Directed","Hermann Bahr–S. Fischer Verlag","16"
"Hermann Bahr","10815","Burgtheater","36247","81","Directed","Hermann Bahr–Burgtheater","4"
"Hermann Bahr","10815","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Hermann Bahr–Die Zeit. Wiener Wochenschrift [Redaktion]","39"
"Hermann Bahr","10815","Lessing-Theater","35053","32","Directed","Hermann Bahr–Lessing-Theater","1"
"Hermann Bahr","10815","Volkstheater","36430","31","Directed","Hermann Bahr–Volkstheater","1"
"Hermann Bahr","10815","Neues Wiener Tagblatt","29414","17","Directed","Hermann Bahr–Neues Wiener Tagblatt","13"
"Hermann Bahr","10815","Franz-Grillparzer-Preis","29677","16","Directed","Hermann Bahr–Franz-Grillparzer-Preis","3"
"Hermann Bahr","10815","Wiener Verlag","29636","14","Directed","Hermann Bahr–Wiener Verlag","3"
"Hermann Bahr","10815","Berliner Tageblatt","29329","13","Directed","Hermann Bahr–Berliner Tageblatt","2"
"Hermann Bahr","10815","Deutsche Zeitung","29424","12","Directed","Hermann Bahr–Deutsche Zeitung","4"
"Hermann Bahr","10815","Jung-Wiener Theater zum Lieben Augustin","143199","11","Directed","Hermann Bahr–Jung-Wiener Theater zum Lieben Augustin","1"
"Hermann Bahr","10815","Concordia. Journalisten- und Schriftstellerverein","29752","10","Directed","Hermann Bahr–Concordia. Journalisten- und Schriftstellerverein","1"
"Hermann Bahr","10815","Vossische Zeitung","29331","9","Directed","Hermann Bahr–Vossische Zeitung","1"
"Hermann Bahr","10815","Südbahnstrecke","41943","8","Directed","Hermann Bahr–Südbahnstrecke","1"
"Richard Beer-Hofmann","10863","Frankfurter Zeitung","29442","187","Directed","Richard Beer-Hofmann–Frankfurter Zeitung","2"
"Richard Beer-Hofmann","10863","Neue Freie Presse","29351","113","Directed","Richard Beer-Hofmann–Neue Freie Presse","3"
"Richard Beer-Hofmann","10863","Burgtheater","36247","81","Directed","Richard Beer-Hofmann–Burgtheater","3"
"Richard Beer-Hofmann","10863","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Richard Beer-Hofmann–Die Zeit. Wiener Wochenschrift [Redaktion]","8"
"Richard Beer-Hofmann","10863","Lessing-Theater","35053","32","Directed","Richard Beer-Hofmann–Lessing-Theater","1"
"Richard Beer-Hofmann","10863","Volkstheater","36430","31","Directed","Richard Beer-Hofmann–Volkstheater","1"
"Richard Beer-Hofmann","10863","Wiener Allgemeine Zeitung","29670","25","Directed","Richard Beer-Hofmann–Wiener Allgemeine Zeitung","2"
"Richard Beer-Hofmann","10863","Franz-Grillparzer-Preis","29677","16","Directed","Richard Beer-Hofmann–Franz-Grillparzer-Preis","1"
"Richard Beer-Hofmann","10863","Wiener Schachclub","43143","14","Directed","Richard Beer-Hofmann–Wiener Schachclub","9"
"Richard Beer-Hofmann","10863","Wiener Verlag","29636","14","Directed","Richard Beer-Hofmann–Wiener Verlag","1"
"Richard Beer-Hofmann","10863","Jung-Wiener Theater zum Lieben Augustin","143199","11","Directed","Richard Beer-Hofmann–Jung-Wiener Theater zum Lieben Augustin","2"
"Richard Beer-Hofmann","10863","Paul Zsolnay Verlag","36907","9","Directed","Richard Beer-Hofmann–Paul Zsolnay Verlag","1"
"Richard Beer-Hofmann","10863","»Freie Bühne« Verein für moderne Literatur","29781","9","Directed","Richard Beer-Hofmann–»Freie Bühne« Verein für moderne Literatur","2"
"Richard Beer-Hofmann","10863","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","29212","9","Directed","Richard Beer-Hofmann–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","1"
"Richard Beer-Hofmann","10863","Südbahnstrecke","41943","8","Directed","Richard Beer-Hofmann–Südbahnstrecke","1"
"Franz Blei","10955","Neue Freie Presse","29351","113","Directed","Franz Blei–Neue Freie Presse","1"
"Oskar Blumenthal","14328","Lessing-Theater","35053","32","Directed","Oskar Blumenthal–Lessing-Theater","10"
"Georg Brandes","10992","Frankfurter Zeitung","29442","187","Directed","Georg Brandes–Frankfurter Zeitung","4"
"Georg Brandes","10992","Neue Freie Presse","29351","113","Directed","Georg Brandes–Neue Freie Presse","6"
"Georg Brandes","10992","Burgtheater","36247","81","Directed","Georg Brandes–Burgtheater","1"
"Georg Brandes","10992","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Georg Brandes–Die Zeit. Wiener Wochenschrift [Redaktion]","3"
"Georg Brandes","10992","Vossische Zeitung","29331","9","Directed","Georg Brandes–Vossische Zeitung","1"
"Felix Braun","11002","S. Fischer Verlag","29639","85","Directed","Felix Braun–S. Fischer Verlag","2"
"Max Eugen Burckhard","11036","S. Fischer Verlag","29639","85","Directed","Max Eugen Burckhard–S. Fischer Verlag","2"
"Max Eugen Burckhard","11036","Burgtheater","36247","81","Directed","Max Eugen Burckhard–Burgtheater","3"
"Max Eugen Burckhard","11036","Wiener Verlag","29636","14","Directed","Max Eugen Burckhard–Wiener Verlag","4"
"Wilhelm Bölsche","11061","S. Fischer Verlag","29639","85","Directed","Wilhelm Bölsche–S. Fischer Verlag","2"
"Wilhelm Bölsche","11061","Lessing-Theater","35053","32","Directed","Wilhelm Bölsche–Lessing-Theater","5"
"Wilhelm Bölsche","11061","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","29212","9","Directed","Wilhelm Bölsche–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","2"
"Jakob Julius David","2416","Wiener Verlag","29636","14","Directed","Jakob Julius David–Wiener Verlag","1"
"Richard Dehmel","11148","S. Fischer Verlag","29639","85","Directed","Richard Dehmel–S. Fischer Verlag","1"
"Albert Ehrenstein","11230","Neue Freie Presse","29351","113","Directed","Albert Ehrenstein–Neue Freie Presse","6"
"Albert Ehrenstein","11230","S. Fischer Verlag","29639","85","Directed","Albert Ehrenstein–S. Fischer Verlag","1"
"Albert Ehrenstein","11230","Volkstheater","36430","31","Directed","Albert Ehrenstein–Volkstheater","1"
"Albert Ehrenstein","11230","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","29212","9","Directed","Albert Ehrenstein–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","2"
"Albert Ehrenstein","11230","Albert Langen","29654","8","Directed","Albert Ehrenstein–Albert Langen","1"
"Friedrich M. Fels","2450","Neue Freie Presse","29351","113","Directed","Friedrich M. Fels–Neue Freie Presse","1"
"Friedrich M. Fels","2450","Burgtheater","36247","81","Directed","Friedrich M. Fels–Burgtheater","1"
"Friedrich M. Fels","2450","Wiener Allgemeine Zeitung","29670","25","Directed","Friedrich M. Fels–Wiener Allgemeine Zeitung","1"
"Friedrich M. Fels","2450","Neues Wiener Tagblatt","29414","17","Directed","Friedrich M. Fels–Neues Wiener Tagblatt","1"
"Friedrich M. Fels","2450","Deutsche Zeitung","29424","12","Directed","Friedrich M. Fels–Deutsche Zeitung","2"
"Friedrich M. Fels","2450","Concordia. Journalisten- und Schriftstellerverein","29752","10","Directed","Friedrich M. Fels–Concordia. Journalisten- und Schriftstellerverein","1"
"Friedrich M. Fels","2450","Vossische Zeitung","29331","9","Directed","Friedrich M. Fels–Vossische Zeitung","1"
"Stefan Grossmann","11527","Frankfurter Zeitung","29442","187","Directed","Stefan Grossmann–Frankfurter Zeitung","1"
"Stefan Grossmann","11527","Deutsches Theater Berlin","35597","32","Directed","Stefan Grossmann–Deutsches Theater Berlin","1"
"Stefan Grossmann","11527","Berliner Tageblatt","29329","13","Directed","Stefan Grossmann–Berliner Tageblatt","1"
"Stefan Grossmann","11527","Das Tage-Buch","37544","12","Directed","Stefan Grossmann–Das Tage-Buch","12"
"Stefan Grossmann","11527","Wiener Freie Volksbühne","29569","10","Directed","Stefan Grossmann–Wiener Freie Volksbühne","10"
"Stefan Grossmann","11527","Vossische Zeitung","29331","9","Directed","Stefan Grossmann–Vossische Zeitung","1"
"Gerhart Hauptmann","11617","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Gerhart Hauptmann–Die Zeit. Wiener Wochenschrift [Redaktion]","1"
"Gerhart Hauptmann","11617","Franz-Grillparzer-Preis","29677","16","Directed","Gerhart Hauptmann–Franz-Grillparzer-Preis","2"
"Hugo von Hofmannsthal","11740","Frankfurter Zeitung","29442","187","Directed","Hugo von Hofmannsthal–Frankfurter Zeitung","1"
"Hugo von Hofmannsthal","11740","Neue Freie Presse","29351","113","Directed","Hugo von Hofmannsthal–Neue Freie Presse","4"
"Hugo von Hofmannsthal","11740","S. Fischer Verlag","29639","85","Directed","Hugo von Hofmannsthal–S. Fischer Verlag","15"
"Hugo von Hofmannsthal","11740","Burgtheater","36247","81","Directed","Hugo von Hofmannsthal–Burgtheater","11"
"Hugo von Hofmannsthal","11740","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Hugo von Hofmannsthal–Die Zeit. Wiener Wochenschrift [Redaktion]","3"
"Hugo von Hofmannsthal","11740","Deutsches Theater Berlin","35597","32","Directed","Hugo von Hofmannsthal–Deutsches Theater Berlin","2"
"Hugo von Hofmannsthal","11740","Volkstheater","36430","31","Directed","Hugo von Hofmannsthal–Volkstheater","2"
"Hugo von Hofmannsthal","11740","Franz-Grillparzer-Preis","29677","16","Directed","Hugo von Hofmannsthal–Franz-Grillparzer-Preis","2"
"Hugo von Hofmannsthal","11740","An der schönen blauen Donau","29698","15","Directed","Hugo von Hofmannsthal–An der schönen blauen Donau","1"
"Hugo von Hofmannsthal","11740","Wiener Schachclub","43143","14","Directed","Hugo von Hofmannsthal–Wiener Schachclub","1"
"Hugo von Hofmannsthal","11740","Deutsche Zeitung","29424","12","Directed","Hugo von Hofmannsthal–Deutsche Zeitung","4"
"Hugo von Hofmannsthal","11740","Concordia. Journalisten- und Schriftstellerverein","29752","10","Directed","Hugo von Hofmannsthal–Concordia. Journalisten- und Schriftstellerverein","3"
"Hugo von Hofmannsthal","11740","»Freie Bühne« Verein für moderne Literatur","29781","9","Directed","Hugo von Hofmannsthal–»Freie Bühne« Verein für moderne Literatur","2"
"Hugo von Hofmannsthal","11740","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","29212","9","Directed","Hugo von Hofmannsthal–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","4"
"Hugo von Hofmannsthal","11740","Südbahnstrecke","41943","8","Directed","Hugo von Hofmannsthal–Südbahnstrecke","2"
"Eduard Michael Kafka","2563","Berliner Tageblatt","29329","13","Directed","Eduard Michael Kafka–Berliner Tageblatt","1"
"Eduard Michael Kafka","2563","»Freie Bühne« Verein für moderne Literatur","29781","9","Directed","Eduard Michael Kafka–»Freie Bühne« Verein für moderne Literatur","1"
"Karl Kraus","11988","Neue Freie Presse","29351","113","Directed","Karl Kraus–Neue Freie Presse","1"
"Karl Kraus","11988","Lessing-Theater","35053","32","Directed","Karl Kraus–Lessing-Theater","1"
"Karl Kraus","11988","Wiener Allgemeine Zeitung","29670","25","Directed","Karl Kraus–Wiener Allgemeine Zeitung","3"
"Karl Kraus","11988","Franz-Grillparzer-Preis","29677","16","Directed","Karl Kraus–Franz-Grillparzer-Preis","1"
"Karl Kraus","11988","»Freie Bühne« Verein für moderne Literatur","29781","9","Directed","Karl Kraus–»Freie Bühne« Verein für moderne Literatur","2"
"Fedor Mamroth","4986","Frankfurter Zeitung","29442","187","Directed","Fedor Mamroth–Frankfurter Zeitung","7"
"Fedor Mamroth","4986","S. Fischer Verlag","29639","85","Directed","Fedor Mamroth–S. Fischer Verlag","1"
"Fedor Mamroth","4986","An der schönen blauen Donau","29698","15","Directed","Fedor Mamroth–An der schönen blauen Donau","1"
"Fedor Mamroth","4986","Josef Eberle Stein-, Buch und Musikaliendruckerei","53104","14","Directed","Fedor Mamroth–Josef Eberle Stein-, Buch und Musikaliendruckerei","1"
"Thomas Mann","12176","S. Fischer Verlag","29639","85","Directed","Thomas Mann–S. Fischer Verlag","4"
"Max Mell","12225","Frankfurter Zeitung","29442","187","Directed","Max Mell–Frankfurter Zeitung","1"
"Max Mell","12225","Volkstheater","36430","31","Directed","Max Mell–Volkstheater","1"
"Paul Goldmann","11485","Frankfurter Zeitung","29442","187","Directed","Paul Goldmann–Frankfurter Zeitung","172"
"Paul Goldmann","11485","Neue Freie Presse","29351","113","Directed","Paul Goldmann–Neue Freie Presse","43"
"Paul Goldmann","11485","S. Fischer Verlag","29639","85","Directed","Paul Goldmann–S. Fischer Verlag","3"
"Paul Goldmann","11485","Burgtheater","36247","81","Directed","Paul Goldmann–Burgtheater","29"
"Paul Goldmann","11485","Die Zeit. Wiener Wochenschrift [Redaktion]","29209","73","Directed","Paul Goldmann–Die Zeit. Wiener Wochenschrift [Redaktion]","12"
"Paul Goldmann","11485","Deutsches Theater Berlin","35597","32","Directed","Paul Goldmann–Deutsches Theater Berlin","10"
"Paul Goldmann","11485","Lessing-Theater","35053","32","Directed","Paul Goldmann–Lessing-Theater","3"
"Paul Goldmann","11485","Volkstheater","36430","31","Directed","Paul Goldmann–Volkstheater","14"
"Paul Goldmann","11485","Die Zeit","29626","26","Directed","Paul Goldmann–Die Zeit","4"
"Paul Goldmann","11485","Wiener Allgemeine Zeitung","29670","25","Directed","Paul Goldmann–Wiener Allgemeine Zeitung","3"
"Paul Goldmann","11485","Franz-Grillparzer-Preis","29677","16","Directed","Paul Goldmann–Franz-Grillparzer-Preis","1"
"Paul Goldmann","11485","An der schönen blauen Donau","29698","15","Directed","Paul Goldmann–An der schönen blauen Donau","14"
"Paul Goldmann","11485","Josef Eberle Stein-, Buch und Musikaliendruckerei","53104","14","Directed","Paul Goldmann–Josef Eberle Stein-, Buch und Musikaliendruckerei","14"
"Paul Goldmann","11485","Wiener Verlag","29636","14","Directed","Paul Goldmann–Wiener Verlag","3"
"Paul Goldmann","11485","Berliner Tageblatt","29329","13","Directed","Paul Goldmann–Berliner Tageblatt","9"
"Paul Goldmann","11485","Deutsche Zeitung","29424","12","Directed","Paul Goldmann–Deutsche Zeitung","1"
"Paul Goldmann","11485","Jung-Wiener Theater zum Lieben Augustin","143199","11","Directed","Paul Goldmann–Jung-Wiener Theater zum Lieben Augustin","4"
"Paul Goldmann","11485","Concordia. Journalisten- und Schriftstellerverein","29752","10","Directed","Paul Goldmann–Concordia. Journalisten- und Schriftstellerverein","2"
