Source,CorrID,Target,OrgID,Overallcount,Type,Label,Weight
"Hermann Bahr","10815","Die Zeit. Wiener Wochenschrift","29209","67","Directed","Hermann Bahr–Die Zeit. Wiener Wochenschrift","39"
"Hermann Bahr","10815","S. Fischer Verlag","29639","76","Directed","Hermann Bahr–S. Fischer Verlag","16"
"Hermann Bahr","10815","Neues Wiener Tagblatt","29414","15","Directed","Hermann Bahr–Neues Wiener Tagblatt","13"
"Hermann Bahr","10815","Deutsche Zeitung","29424","11","Directed","Hermann Bahr–Deutsche Zeitung","4"
"Hermann Bahr","10815","Wiener Verlag","29636","14","Directed","Hermann Bahr–Wiener Verlag","3"
"Hermann Bahr","10815","Franz-Grillparzer-Preis","29677","14","Directed","Hermann Bahr–Franz-Grillparzer-Preis","3"
"Hermann Bahr","10815","Burgtheater","36247","62","Directed","Hermann Bahr–Burgtheater","3"
"Hermann Bahr","10815","Cosmopolis","29206","2","Directed","Hermann Bahr–Cosmopolis","2"
"Hermann Bahr","10815","Niederösterreichische Statthalterei","29253","2","Directed","Hermann Bahr–Niederösterreichische Statthalterei","2"
"Hermann Bahr","10815","Reichswehr","29304","2","Directed","Hermann Bahr–Reichswehr","2"
"Hermann Bahr","10815","Neues Wiener Journal","29320","3","Directed","Hermann Bahr–Neues Wiener Journal","2"
"Hermann Bahr","10815","Berliner Tageblatt","29329","13","Directed","Hermann Bahr–Berliner Tageblatt","2"
"Hermann Bahr","10815","Neue Freie Presse","29351","72","Directed","Hermann Bahr–Neue Freie Presse","2"
"Hermann Bahr","10815","Bauernfeld-Preis","29675","4","Directed","Hermann Bahr–Bauernfeld-Preis","2"
"Hermann Bahr","10815","Pensionsanstalt deutscher Journalisten und Schriftsteller","29757","2","Directed","Hermann Bahr–Pensionsanstalt deutscher Journalisten und Schriftsteller","2"
"Hermann Bahr","10815","Nationaltheater München","44112","7","Directed","Hermann Bahr–Nationaltheater München","2"
"Hermann Bahr","10815","Berliner Neueste Nachrichten","29207","5","Directed","Hermann Bahr–Berliner Neueste Nachrichten","1"
"Hermann Bahr","10815","Gemütliche Harmonie","29213","1","Directed","Hermann Bahr–Gemütliche Harmonie","1"
"Hermann Bahr","10815","Süddeutsches Antiquariat","29255","1","Directed","Hermann Bahr–Süddeutsches Antiquariat","1"
"Hermann Bahr","10815","Akademie der Tonkunst","29279","1","Directed","Hermann Bahr–Akademie der Tonkunst","1"
"Hermann Bahr","10815","Carl Konegen","29296","1","Directed","Hermann Bahr–Carl Konegen","1"
"Hermann Bahr","10815","Pester Lloyd","29306","2","Directed","Hermann Bahr–Pester Lloyd","1"
"Hermann Bahr","10815","Vossische Zeitung","29331","9","Directed","Hermann Bahr–Vossische Zeitung","1"
"Hermann Bahr","10815","Die Schaubühne / Die Weltbühne","29348","2","Directed","Hermann Bahr–Die Schaubühne / Die Weltbühne","1"
"Hermann Bahr","10815","J. Singer & Co.","29369","1","Directed","Hermann Bahr–J. Singer & Co.","1"
"Hermann Bahr","10815","The Dial","29371","2","Directed","Hermann Bahr–The Dial","1"
"Hermann Bahr","10815","Kikeriki","29394","1","Directed","Hermann Bahr–Kikeriki","1"
"Hermann Bahr","10815","Berliner Börsen-Courier","29406","7","Directed","Hermann Bahr–Berliner Börsen-Courier","1"
"Hermann Bahr","10815","Österreichische Volks-Zeitung","29421","1","Directed","Hermann Bahr–Österreichische Volks-Zeitung","1"
"Hermann Bahr","10815","Stiegl-Brauerei","29547","2","Directed","Hermann Bahr–Stiegl-Brauerei","1"
"Hermann Bahr","10815","Freie Bühne","29561","3","Directed","Hermann Bahr–Freie Bühne","1"
"Hermann Bahr","10815","Ahn & Simrock","29630","1","Directed","Hermann Bahr–Ahn & Simrock","1"
"Hermann Bahr","10815","Goethebund","29667","1","Directed","Hermann Bahr–Goethebund","1"
"Hermann Bahr","10815","Bibliographisches Bureau","29716","6","Directed","Hermann Bahr–Bibliographisches Bureau","1"
"Hermann Bahr","10815","Hugo Heller","29747","1","Directed","Hermann Bahr–Hugo Heller","1"
"Hermann Bahr","10815","Concordia","29752","9","Directed","Hermann Bahr–Concordia","1"
"Hermann Bahr","10815","Ernst Rowohlt Verlag","29756","3","Directed","Hermann Bahr–Ernst Rowohlt Verlag","1"
"Hermann Bahr","10815","Rikola Verlag","29758","2","Directed","Hermann Bahr–Rikola Verlag","1"
"Hermann Bahr","10815","E. Pierson’s Verlag","29771","4","Directed","Hermann Bahr–E. Pierson’s Verlag","1"
"Hermann Bahr","10815","Lessing-Theater","35053","25","Directed","Hermann Bahr–Lessing-Theater","1"
"Hermann Bahr","10815","Südbahnstrecke","41943","7","Directed","Hermann Bahr–Südbahnstrecke","1"
"Hermann Bahr","10815","Akademische Hochschule für Musik","43988","1","Directed","Hermann Bahr–Akademische Hochschule für Musik","1"
"Hermann Bahr","10815","Verein »Freie Schule«","48851","1","Directed","Hermann Bahr–Verein »Freie Schule«","1"
"Hermann Bahr","10815","Jung-Wiener Theater zum Lieben Augustin","143199","11","Directed","Hermann Bahr–Jung-Wiener Theater zum Lieben Augustin","1"
