Source,Target,Weight,Type
"Grossmann, Stefan","Das Tage-Buch",12,Directed
"Grossmann, Stefan","Wiener Freie Volksbühne",10,Directed
"Grossmann, Stefan","Ullstein Verlag",3,Directed
"Grossmann, Stefan","Arbeiter-Zeitung",2,Directed
"Grossmann, Stefan","Berliner Morgenpost",2,Directed
"Grossmann, Stefan","Ernst Rowohlt Verlag",2,Directed
"Grossmann, Stefan","Fernsprechamt Lietzow",2,Directed
"Grossmann, Stefan","Wiener Rundschau",1,Directed
"Grossmann, Stefan","Deutsches Theater Berlin",1,Directed
"Grossmann, Stefan","Volksbühne Berlin",1,Directed
"Grossmann, Stefan","Neue Wiener Bühne",1,Directed
"Grossmann, Stefan","Die Fackel",1,Directed
"Grossmann, Stefan","Berliner Tageblatt",1,Directed
"Grossmann, Stefan","Vossische Zeitung",1,Directed
"Grossmann, Stefan","B.Z. am Mittag",1,Directed
"Grossmann, Stefan","Frankfurter Zeitung",1,Directed
"Grossmann, Stefan","Völkischer Beobachter",1,Directed
