Source,Target,Weight,Type
"Salten, Felix","S. Fischer Verlag",26,Directed
"Salten, Felix","Die Zeit",25,Directed
"Salten, Felix","Burgtheater",23,Directed
"Salten, Felix","Wiener Allgemeine Zeitung",16,Directed
"Salten, Felix","Volkstheater",11,Directed
"Salten, Felix","Deutsches Theater Berlin",9,Directed
"Salten, Felix","Lessing-Theater",9,Directed
"Salten, Felix","Jung-Wiener Theater zum Lieben Augustin",8,Directed
"Salten, Felix","Paul Zsolnay Verlag",8,Directed
"Salten, Felix","Wiener Verlag",7,Directed
"Salten, Felix","Neue Freie Presse",6,Directed
"Salten, Felix","Ullstein Verlag",5,Directed
"Salten, Felix","B.Z. am Mittag",5,Directed
"Salten, Felix","Internationale Ausstellung für Musik und Theaterwesen",4,Directed
"Salten, Felix","Berliner Neueste Nachrichten",4,Directed
"Salten, Felix","Münchener General-Anzeiger",4,Directed
"Salten, Felix","Concordia. Journalisten- und Schriftstellerverein",4,Directed
"Salten, Felix","Stadttheater Teplitz",4,Directed
"Salten, Felix","Raimund-Theater",4,Directed
"Salten, Felix","»Phönix« Versicherung",3,Directed
"Salten, Felix","Saisontheater Ischl",3,Directed
"Salten, Felix","Wiener Schachclub",3,Directed
"Salten, Felix","Neues Wiener Tagblatt",3,Directed
"Salten, Felix","Südbahnstrecke",3,Directed
"Salten, Felix","Die Zeit. Wiener Wochenschrift",3,Directed
"Salten, Felix","Kleines Theater",3,Directed
"Salten, Felix","Berliner Morgenpost",3,Directed
"Salten, Felix","Franz-Grillparzer-Preis",3,Directed
"Salten, Felix","Akademie der Bildenden Künste Wien",2,Directed
"Salten, Felix","Überbrettl",2,Directed
