Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Otto Brahm","10986","Olga Schnitzler","2173","555","Directed","Otto Brahm–Olga Schnitzler","2"
"Rainer Maria Rilke","9531","Hugo von Hofmannsthal","11740","300","Directed","Rainer Maria Rilke–Hugo von Hofmannsthal","1"
"Rainer Maria Rilke","9531","Hermann Bahr","10815","223","Directed","Rainer Maria Rilke–Hermann Bahr","2"
"Rainer Maria Rilke","9531","Isidor Singer","12790","66","Directed","Rainer Maria Rilke–Isidor Singer","2"
"Rainer Maria Rilke","9531","Marie Reinhard","2378","61","Directed","Rainer Maria Rilke–Marie Reinhard","1"
"Rainer Maria Rilke","9531","Jakob Wassermann","13055","57","Directed","Rainer Maria Rilke–Jakob Wassermann","1"
"Carl von Torresani","26121","Richard Beer-Hofmann","10863","397","Directed","Carl von Torresani–Richard Beer-Hofmann","1"
"Carl von Torresani","26121","Hugo von Hofmannsthal","11740","300","Directed","Carl von Torresani–Hugo von Hofmannsthal","1"
"Carl von Torresani","26121","Hermann Bahr","10815","223","Directed","Carl von Torresani–Hermann Bahr","1"
"Carl von Torresani","26121","Felix Salten","2167","140","Directed","Carl von Torresani–Felix Salten","3"
"Theodor von Sosnosky","9941","Richard Beer-Hofmann","10863","397","Directed","Theodor von Sosnosky–Richard Beer-Hofmann","1"
"Theodor von Sosnosky","9941","Hugo von Hofmannsthal","11740","300","Directed","Theodor von Sosnosky–Hugo von Hofmannsthal","1"
"Theodor von Sosnosky","9941","Hermann Bahr","10815","223","Directed","Theodor von Sosnosky–Hermann Bahr","1"
"Theodor von Sosnosky","9941","Gustav Schwarzkopf","12740","93","Directed","Theodor von Sosnosky–Gustav Schwarzkopf","4"
"Gustav Schwarzkopf","12740","Olga Schnitzler","2173","555","Directed","Gustav Schwarzkopf–Olga Schnitzler","60"
"Gustav Schwarzkopf","12740","Richard Beer-Hofmann","10863","397","Directed","Gustav Schwarzkopf–Richard Beer-Hofmann","39"
"Gustav Schwarzkopf","12740","Hugo von Hofmannsthal","11740","300","Directed","Gustav Schwarzkopf–Hugo von Hofmannsthal","22"
"Gustav Schwarzkopf","12740","Paul Goldmann","11485","165","Directed","Gustav Schwarzkopf–Paul Goldmann","19"
"Gustav Schwarzkopf","12740","Felix Salten","2167","140","Directed","Gustav Schwarzkopf–Felix Salten","11"
"Gustav Schwarzkopf","12740","Heinrich Schnitzler","12692","133","Directed","Gustav Schwarzkopf–Heinrich Schnitzler","27"
"Gustav Schwarzkopf","12740","Otto Brahm","10986","132","Directed","Gustav Schwarzkopf–Otto Brahm","7"
"Gustav Schwarzkopf","12740","Paula Beer-Hofmann","10860","121","Directed","Gustav Schwarzkopf–Paula Beer-Hofmann","1"
"Gustav Schwarzkopf","12740","Louise Schnitzler","12701","106","Directed","Gustav Schwarzkopf–Louise Schnitzler","24"
"Gustav Schwarzkopf","12740","Ottilie Salten","23918","88","Directed","Gustav Schwarzkopf–Ottilie Salten","1"
"Gustav Schwarzkopf","12740","Samuel Fischer","11324","67","Directed","Gustav Schwarzkopf–Samuel Fischer","3"
"Gustav Schwarzkopf","12740","Max Schwarzkopf","24648","61","Directed","Gustav Schwarzkopf–Max Schwarzkopf","60"
"Gustav Schwarzkopf","12740","Marie Reinhard","2378","61","Directed","Gustav Schwarzkopf–Marie Reinhard","1"
"Gustav Schwarzkopf","12740","Elisabeth Steinrück","2315","59","Directed","Gustav Schwarzkopf–Elisabeth Steinrück","15"
"Gustav Schwarzkopf","12740","Gertrude von Hofmannsthal","2292","58","Directed","Gustav Schwarzkopf–Gertrude von Hofmannsthal","3"
"Gustav Schwarzkopf","12740","Jakob Wassermann","13055","57","Directed","Gustav Schwarzkopf–Jakob Wassermann","11"
"Gustav Schwarzkopf","12740","Julius Schnitzler","12698","56","Directed","Gustav Schwarzkopf–Julius Schnitzler","9"
"Gustav Schwarzkopf","12740","Lili Cappellini","2238","54","Directed","Gustav Schwarzkopf–Lili Cappellini","16"
"Gustav Schwarzkopf","12740","Theodor Herzl","11673","51","Directed","Gustav Schwarzkopf–Theodor Herzl","1"
"Gustav Schwarzkopf","12740","Alfred Kerr","11910","50","Directed","Gustav Schwarzkopf–Alfred Kerr","1"
"Gustav Schwarzkopf","12740","Johann Wolfgang von Goethe","11461","49","Directed","Gustav Schwarzkopf–Johann Wolfgang von Goethe","1"
"Gustav Schwarzkopf","12740","Paul Schlenther","12671","46","Directed","Gustav Schwarzkopf–Paul Schlenther","2"
"Gustav Schwarzkopf","12740","Georg Hirschfeld","11701","44","Directed","Gustav Schwarzkopf–Georg Hirschfeld","4"
"Carl Sternheim","12848","Hugo von Hofmannsthal","11740","300","Directed","Carl Sternheim–Hugo von Hofmannsthal","1"
"Carl Sternheim","12848","Hermann Bahr","10815","223","Directed","Carl Sternheim–Hermann Bahr","1"
"Berta Zuckerkandl","2312","Olga Schnitzler","2173","555","Directed","Berta Zuckerkandl–Olga Schnitzler","9"
"Berta Zuckerkandl","2312","Hugo von Hofmannsthal","11740","300","Directed","Berta Zuckerkandl–Hugo von Hofmannsthal","1"
"Berta Zuckerkandl","2312","Heinrich Schnitzler","12692","133","Directed","Berta Zuckerkandl–Heinrich Schnitzler","3"
"Berta Zuckerkandl","2312","Louise Schnitzler","12701","106","Directed","Berta Zuckerkandl–Louise Schnitzler","1"
"Berta Zuckerkandl","2312","Samuel Fischer","11324","67","Directed","Berta Zuckerkandl–Samuel Fischer","1"
"Berta Zuckerkandl","2312","Lili Cappellini","2238","54","Directed","Berta Zuckerkandl–Lili Cappellini","4"
"Theodor Herzl","11673","Richard Beer-Hofmann","10863","397","Directed","Theodor Herzl–Richard Beer-Hofmann","1"
"Theodor Herzl","11673","Hugo von Hofmannsthal","11740","300","Directed","Theodor Herzl–Hugo von Hofmannsthal","4"
"Theodor Herzl","11673","Hermann Bahr","10815","223","Directed","Theodor Herzl–Hermann Bahr","2"
"Theodor Herzl","11673","Paul Goldmann","11485","165","Directed","Theodor Herzl–Paul Goldmann","6"
"Theodor Herzl","11673","Otto Brahm","10986","132","Directed","Theodor Herzl–Otto Brahm","7"
"Theodor Herzl","11673","Louise Schnitzler","12701","106","Directed","Theodor Herzl–Louise Schnitzler","5"
"Theodor Herzl","11673","Samuel Fischer","11324","67","Directed","Theodor Herzl–Samuel Fischer","8"
"Theodor Herzl","11673","Max Eugen Burckhard","11036","57","Directed","Theodor Herzl–Max Eugen Burckhard","2"
"Theodor Herzl","11673","Julius Schnitzler","12698","56","Directed","Theodor Herzl–Julius Schnitzler","2"
"Theodor Herzl","11673","Paul Schlenther","12671","46","Directed","Theodor Herzl–Paul Schlenther","1"
"Stefan Zweig","13212","Olga Schnitzler","2173","555","Directed","Stefan Zweig–Olga Schnitzler","33"
"Stefan Zweig","13212","Hugo von Hofmannsthal","11740","300","Directed","Stefan Zweig–Hugo von Hofmannsthal","1"
"Stefan Zweig","13212","Hermann Bahr","10815","223","Directed","Stefan Zweig–Hermann Bahr","4"
"Stefan Zweig","13212","Heinrich Schnitzler","12692","133","Directed","Stefan Zweig–Heinrich Schnitzler","3"
"Stefan Zweig","13212","Otto Brahm","10986","132","Directed","Stefan Zweig–Otto Brahm","1"
"Stefan Zweig","13212","Samuel Fischer","11324","67","Directed","Stefan Zweig–Samuel Fischer","5"
"Stefan Zweig","13212","Elisabeth Steinrück","2315","59","Directed","Stefan Zweig–Elisabeth Steinrück","1"
"Stefan Zweig","13212","Jakob Wassermann","13055","57","Directed","Stefan Zweig–Jakob Wassermann","3"
"Stefan Zweig","13212","Lili Cappellini","2238","54","Directed","Stefan Zweig–Lili Cappellini","2"
"Stefan Zweig","13212","Johann Wolfgang von Goethe","11461","49","Directed","Stefan Zweig–Johann Wolfgang von Goethe","4"
"Elsa Plessner","2128","Olga Schnitzler","2173","555","Directed","Elsa Plessner–Olga Schnitzler","3"
"Elsa Plessner","2128","Hermann Bahr","10815","223","Directed","Elsa Plessner–Hermann Bahr","4"
"Elsa Plessner","2128","Otto Brahm","10986","132","Directed","Elsa Plessner–Otto Brahm","5"
"Marie Herzfeld","11666","Hugo von Hofmannsthal","11740","300","Directed","Marie Herzfeld–Hugo von Hofmannsthal","2"
"Karin Michaëlis","4408","Olga Schnitzler","2173","555","Directed","Karin Michaëlis–Olga Schnitzler","1"
"Therese Rie-Andro","4836","Johann Wolfgang von Goethe","11461","49","Directed","Therese Rie-Andro–Johann Wolfgang von Goethe","1"
"Ludwig Ganghofer","11402","Otto Brahm","10986","132","Directed","Ludwig Ganghofer–Otto Brahm","1"
"Adalbert Franz Seligmann","12769","Max Eugen Burckhard","11036","57","Directed","Adalbert Franz Seligmann–Max Eugen Burckhard","1"
"Robert Adam","12438","Olga Schnitzler","2173","555","Directed","Robert Adam–Olga Schnitzler","1"
"Robert Adam","12438","Heinrich Schnitzler","12692","133","Directed","Robert Adam–Heinrich Schnitzler","1"
"Robert Adam","12438","Lili Cappellini","2238","54","Directed","Robert Adam–Lili Cappellini","2"
"Peter Altenberg","2147","Olga Schnitzler","2173","555","Directed","Peter Altenberg–Olga Schnitzler","1"
"Peter Altenberg","2147","Richard Beer-Hofmann","10863","397","Directed","Peter Altenberg–Richard Beer-Hofmann","2"
"Peter Altenberg","2147","Hugo von Hofmannsthal","11740","300","Directed","Peter Altenberg–Hugo von Hofmannsthal","2"
"Peter Altenberg","2147","Hermann Bahr","10815","223","Directed","Peter Altenberg–Hermann Bahr","1"
"Peter Altenberg","2147","Gustav Schwarzkopf","12740","93","Directed","Peter Altenberg–Gustav Schwarzkopf","1"
"Lou Andreas-Salomé","10762","Olga Schnitzler","2173","555","Directed","Lou Andreas-Salomé–Olga Schnitzler","1"
"Lou Andreas-Salomé","10762","Richard Beer-Hofmann","10863","397","Directed","Lou Andreas-Salomé–Richard Beer-Hofmann","1"
"Lou Andreas-Salomé","10762","Paul Goldmann","11485","165","Directed","Lou Andreas-Salomé–Paul Goldmann","3"
"Lou Andreas-Salomé","10762","Otto Brahm","10986","132","Directed","Lou Andreas-Salomé–Otto Brahm","1"
"Lou Andreas-Salomé","10762","Fedor Mamroth","4986","77","Directed","Lou Andreas-Salomé–Fedor Mamroth","1"
"Hermann Bahr","10815","Olga Schnitzler","2173","555","Directed","Hermann Bahr–Olga Schnitzler","102"
"Hermann Bahr","10815","Richard Beer-Hofmann","10863","397","Directed","Hermann Bahr–Richard Beer-Hofmann","11"
"Hermann Bahr","10815","Hugo von Hofmannsthal","11740","300","Directed","Hermann Bahr–Hugo von Hofmannsthal","19"
"Hermann Bahr","10815","Paul Goldmann","11485","165","Directed","Hermann Bahr–Paul Goldmann","2"
"Hermann Bahr","10815","Felix Salten","2167","140","Directed","Hermann Bahr–Felix Salten","12"
"Hermann Bahr","10815","Heinrich Schnitzler","12692","133","Directed","Hermann Bahr–Heinrich Schnitzler","9"
"Hermann Bahr","10815","Otto Brahm","10986","132","Directed","Hermann Bahr–Otto Brahm","15"
"Hermann Bahr","10815","Louise Schnitzler","12701","106","Directed","Hermann Bahr–Louise Schnitzler","1"
"Hermann Bahr","10815","Heinrich Kanner","11867","75","Directed","Hermann Bahr–Heinrich Kanner","39"
"Hermann Bahr","10815","Samuel Fischer","11324","67","Directed","Hermann Bahr–Samuel Fischer","7"
"Hermann Bahr","10815","Isidor Singer","12790","66","Directed","Hermann Bahr–Isidor Singer","40"
"Hermann Bahr","10815","Marie Reinhard","2378","61","Directed","Hermann Bahr–Marie Reinhard","1"
"Hermann Bahr","10815","Elisabeth Steinrück","2315","59","Directed","Hermann Bahr–Elisabeth Steinrück","1"
"Hermann Bahr","10815","Gertrude von Hofmannsthal","2292","58","Directed","Hermann Bahr–Gertrude von Hofmannsthal","1"
"Hermann Bahr","10815","Max Eugen Burckhard","11036","57","Directed","Hermann Bahr–Max Eugen Burckhard","14"
"Hermann Bahr","10815","Julius Schnitzler","12698","56","Directed","Hermann Bahr–Julius Schnitzler","5"
"Hermann Bahr","10815","Lili Cappellini","2238","54","Directed","Hermann Bahr–Lili Cappellini","3"
"Hermann Bahr","10815","Johann Wolfgang von Goethe","11461","49","Directed","Hermann Bahr–Johann Wolfgang von Goethe","1"
"Hermann Bahr","10815","Paul Schlenther","12671","46","Directed","Hermann Bahr–Paul Schlenther","2"
"Hermann Bahr","10815","Georg Hirschfeld","11701","44","Directed","Hermann Bahr–Georg Hirschfeld","2"
"Richard Beer-Hofmann","10863","Olga Schnitzler","2173","555","Directed","Richard Beer-Hofmann–Olga Schnitzler","63"
"Richard Beer-Hofmann","10863","Hugo von Hofmannsthal","11740","300","Directed","Richard Beer-Hofmann–Hugo von Hofmannsthal","124"
"Richard Beer-Hofmann","10863","Hermann Bahr","10815","223","Directed","Richard Beer-Hofmann–Hermann Bahr","33"
"Richard Beer-Hofmann","10863","Paul Goldmann","11485","165","Directed","Richard Beer-Hofmann–Paul Goldmann","70"
