Source,CorrID,Target,PersID,Overallcount,Type,Label,Weight
"Albert Ehrenstein","11230","Raoul Auernheimer","10788","12","Directed","Albert Ehrenstein–Raoul Auernheimer","7"
"Albert Ehrenstein","11230","Alexander Ehrenstein","15712","6","Directed","Albert Ehrenstein–Alexander Ehrenstein","6"
"Albert Ehrenstein","11230","Oskar Bie","2914","11","Directed","Albert Ehrenstein–Oskar Bie","5"
"Albert Ehrenstein","11230","Sigmund Kornfeld","8305","5","Directed","Albert Ehrenstein–Sigmund Kornfeld","5"
"Albert Ehrenstein","11230","Stefan Großmann","11527","6","Directed","Albert Ehrenstein–Stefan Großmann","4"
"Albert Ehrenstein","11230","Karl Kraus","11988","27","Directed","Albert Ehrenstein–Karl Kraus","4"
"Albert Ehrenstein","11230","Homer","2495","5","Directed","Albert Ehrenstein–Homer","3"
"Albert Ehrenstein","11230","Alfred Polgar","2989","6","Directed","Albert Ehrenstein–Alfred Polgar","3"
"Albert Ehrenstein","11230","Samuel Fischer","11324","50","Directed","Albert Ehrenstein–Samuel Fischer","3"
"Albert Ehrenstein","11230","August Fournier","11349","3","Directed","Albert Ehrenstein–August Fournier","3"
"Albert Ehrenstein","11230","Olga Schnitzler","2173","459","Directed","Albert Ehrenstein–Olga Schnitzler","2"
"Albert Ehrenstein","11230","Alfred Adler","5925","2","Directed","Albert Ehrenstein–Alfred Adler","2"
"Albert Ehrenstein","11230","Franz Grillparzer","11518","7","Directed","Albert Ehrenstein–Franz Grillparzer","2"
"Albert Ehrenstein","11230","Hanns von Gumppenberg","11548","2","Directed","Albert Ehrenstein–Hanns von Gumppenberg","2"
"Albert Ehrenstein","11230","Camill Hoffmann","11727","3","Directed","Albert Ehrenstein–Camill Hoffmann","2"
"Albert Ehrenstein","11230","Rudolf Alexander Schröder","12722","3","Directed","Albert Ehrenstein–Rudolf Alexander Schröder","2"
"Albert Ehrenstein","11230","?? [Studienkollege von Albert Ehrenstein]","27755","2","Directed","Albert Ehrenstein–?? [Studienkollege von Albert Ehrenstein]","2"
"Albert Ehrenstein","11230","Peter Altenberg","2147","36","Directed","Albert Ehrenstein–Peter Altenberg","1"
"Albert Ehrenstein","11230","Philipp Langmann","2334","1","Directed","Albert Ehrenstein–Philipp Langmann","1"
"Albert Ehrenstein","11230","Friedrich Hebbel","2404","9","Directed","Albert Ehrenstein–Friedrich Hebbel","1"
"Albert Ehrenstein","11230","William Shakespeare","2412","19","Directed","Albert Ehrenstein–William Shakespeare","1"
"Albert Ehrenstein","11230","Felix von Oppenheimer","2527","2","Directed","Albert Ehrenstein–Felix von Oppenheimer","1"
"Albert Ehrenstein","11230","Joseph Victor Widmann","3557","2","Directed","Albert Ehrenstein–Joseph Victor Widmann","1"
"Albert Ehrenstein","11230","Euripides","4107","2","Directed","Albert Ehrenstein–Euripides","1"
"Albert Ehrenstein","11230","Napoleon Bonaparte","4769","5","Directed","Albert Ehrenstein–Napoleon Bonaparte","1"
