Source,CorrID,Target,PersID,Overallcount,Type,Label,Weight
"Felix Salten","2167","Ottilie Salten","23918","87","Directed","Felix Salten–Ottilie Salten","86"
"Felix Salten","2167","Olga Schnitzler","2173","459","Directed","Felix Salten–Olga Schnitzler","61"
"Felix Salten","2167","Richard Beer-Hofmann","10863","356","Directed","Felix Salten–Richard Beer-Hofmann","40"
"Felix Salten","2167","Hugo von Hofmannsthal","11740","271","Directed","Felix Salten–Hugo von Hofmannsthal","30"
"Felix Salten","2167","Hermann Bahr","10815","208","Directed","Felix Salten–Hermann Bahr","22"
"Felix Salten","2167","Paul Goldmann","11485","157","Directed","Felix Salten–Paul Goldmann","19"
"Felix Salten","2167","Heinrich Schnitzler","12692","114","Directed","Felix Salten–Heinrich Schnitzler","19"
"Felix Salten","2167","Heinrich Kanner","11867","75","Directed","Felix Salten–Heinrich Kanner","17"
"Felix Salten","2167","Isidor Singer","12790","64","Directed","Felix Salten–Isidor Singer","15"
"Felix Salten","2167","Frieda Pollak","22728","50","Directed","Felix Salten–Frieda Pollak","15"
"Felix Salten","2167","Otto Brahm","10986","112","Directed","Felix Salten–Otto Brahm","13"
"Felix Salten","2167","Paul Salten","2922","12","Directed","Felix Salten–Paul Salten","12"
"Felix Salten","2167","Julius von Gans-Ludassy","11406","22","Directed","Felix Salten–Julius von Gans-Ludassy","12"
"Felix Salten","2167","Charlotte Pohl-Glas","3784","10","Directed","Felix Salten–Charlotte Pohl-Glas","10"
"Felix Salten","2167","Adele Sandrock","12618","39","Directed","Felix Salten–Adele Sandrock","10"
"Felix Salten","2167","Anna Katharina Rehmann","23915","10","Directed","Felix Salten–Anna Katharina Rehmann","10"
"Felix Salten","2167","Georg Hirschfeld","11701","40","Directed","Felix Salten–Georg Hirschfeld","9"
"Felix Salten","2167","Gustav Schwarzkopf","12740","87","Directed","Felix Salten–Gustav Schwarzkopf","9"
"Felix Salten","2167","Samuel Fischer","11324","50","Directed","Felix Salten–Samuel Fischer","8"
"Felix Salten","2167","Siegfried Jacobsohn","11813","9","Directed","Felix Salten–Siegfried Jacobsohn","8"
"Felix Salten","2167","Paul Schlenther","12671","43","Directed","Felix Salten–Paul Schlenther","8"
"Felix Salten","2167","Richard Specht","2456","14","Directed","Felix Salten–Richard Specht","7"
"Felix Salten","2167","Alfred Kerr","11910","50","Directed","Felix Salten–Alfred Kerr","7"
"Felix Salten","2167","Siegfried Trebitsch","12968","16","Directed","Felix Salten–Siegfried Trebitsch","7"
"Felix Salten","2167","Michael Emil Salzmann","45493","7","Directed","Felix Salten–Michael Emil Salzmann","7"
"Felix Salten","2167","Theodor Herzl","11673","50","Directed","Felix Salten–Theodor Herzl","6"
"Felix Salten","2167","Louise Schnitzler","12701","76","Directed","Felix Salten–Louise Schnitzler","6"
"Felix Salten","2167","Jakob Wassermann","13055","42","Directed","Felix Salten–Jakob Wassermann","6"
"Felix Salten","2167","Philipp Salzmann","142892","6","Directed","Felix Salten–Philipp Salzmann","6"
"Felix Salten","2167","Elisabeth Steinrück","2315","43","Directed","Felix Salten–Elisabeth Steinrück","5"
