Source,Target,Weight,Type
"Altenberg, Peter","Wien",27,Directed
"Altenberg, Peter","Semmering",8,Directed
"Altenberg, Peter","Otto-Wagner-Spital",6,Directed
"Altenberg, Peter","Berlin",3,Directed
"Altenberg, Peter","Seidlgasse",3,Directed
"Altenberg, Peter","Nussdorfer Straße",3,Directed
"Altenberg, Peter","Marienbad",2,Directed
"Altenberg, Peter","Karlsbad",2,Directed
"Altenberg, Peter","Gmunden",2,Directed
"Altenberg, Peter","Hotel Panhans",2,Directed
"Altenberg, Peter","Sternwartestraße 71",2,Directed
"Altenberg, Peter","IX., Alsergrund",2,Directed
"Altenberg, Peter","Wiener Konzerthaus",2,Directed
"Altenberg, Peter","Traunstein [Berg]",1,Directed
"Altenberg, Peter","Bad Ischl",1,Directed
"Altenberg, Peter","Schweiz",1,Directed
"Altenberg, Peter","Scheveningen",1,Directed
"Altenberg, Peter","Ostende",1,Directed
"Altenberg, Peter","Goldener Brunnen",1,Directed
"Altenberg, Peter","Schloss Schönbrunn",1,Directed
"Altenberg, Peter","Café Pucher",1,Directed
"Altenberg, Peter","Burgtheater",1,Directed
"Altenberg, Peter","Hotel Savoy [Berlin]",1,Directed
"Altenberg, Peter","Eisenbahnbeamtenclub",1,Directed
"Altenberg, Peter","Eschenbachgasse 11",1,Directed
"Altenberg, Peter","Bösendorfer-Saal",1,Directed
"Altenberg, Peter","Opatija",1,Directed
"Altenberg, Peter","Franzensbad",1,Directed
"Altenberg, Peter","Piešťany",1,Directed
"Altenberg, Peter","Bad Gastein",1,Directed
