Source,CorrID,Target,PlaceID,Overallcount,Type,Label,Weight
"Felix Salten","2167","Wien","50","1647","Directed","Felix Salten–Wien","200"
"Felix Salten","2167","Berlin","168","570","Directed","Felix Salten–Berlin","74"
"Felix Salten","2167","Edmund-Weiß-Gasse 7","168940","318","Directed","Felix Salten–Edmund-Weiß-Gasse 7","54"
"Felix Salten","2167","Bad Ischl","213","211","Directed","Felix Salten–Bad Ischl","30"
"Felix Salten","2167","Österreich","41240","219","Directed","Felix Salten–Österreich","29"
"Felix Salten","2167","Sternwartestraße 71","168815","259","Directed","Felix Salten–Sternwartestraße 71","29"
"Felix Salten","2167","XVIII., Währing","68","210","Directed","Felix Salten–XVIII., Währing","28"
"Felix Salten","2167","Salzburg","30","194","Directed","Felix Salten–Salzburg","22"
"Felix Salten","2167","Berghof","411","19","Directed","Felix Salten–Berghof","19"
"Felix Salten","2167","Unterach am Attersee","877","22","Directed","Felix Salten–Unterach am Attersee","19"
"Felix Salten","2167","München","45258","154","Directed","Felix Salten–München","18"
"Felix Salten","2167","Semmering","189","91","Directed","Felix Salten–Semmering","15"
"Felix Salten","2167","Frankgasse 1","168934","225","Directed","Felix Salten–Frankgasse 1","14"
"Felix Salten","2167","Wipplingerstraße","120","13","Directed","Felix Salten–Wipplingerstraße","12"
"Felix Salten","2167","Hotel und Pension Rudolfshöhe (Leopold Petter)","414","44","Directed","Felix Salten–Hotel und Pension Rudolfshöhe (Leopold Petter)","12"
"Felix Salten","2167","Leipzig","864","29","Directed","Felix Salten–Leipzig","11"
"Felix Salten","2167","Hörlgasse","417","10","Directed","Felix Salten–Hörlgasse","10"
"Felix Salten","2167","Dresden","866","27","Directed","Felix Salten–Dresden","10"
"Felix Salten","2167","Riedhof","44","12","Directed","Felix Salten–Riedhof","9"
"Felix Salten","2167","Venedig","462","68","Directed","Felix Salten–Venedig","9"
"Felix Salten","2167","Kopenhagen","36300","111","Directed","Felix Salten–Kopenhagen","9"
"Felix Salten","2167","Burgtheater","14","55","Directed","Felix Salten–Burgtheater","8"
"Felix Salten","2167","Heiligenstadt","159","9","Directed","Felix Salten–Heiligenstadt","8"
"Felix Salten","2167","Paris","182","232","Directed","Felix Salten–Paris","8"
"Felix Salten","2167","Salzkammergut","429","33","Directed","Felix Salten–Salzkammergut","8"
"Felix Salten","2167","Karlsbad","842","21","Directed","Felix Salten–Karlsbad","8"
"Felix Salten","2167","Dänemark","43570","71","Directed","Felix Salten–Dänemark","7"
"Felix Salten","2167","Café Griensteidl","34","40","Directed","Felix Salten–Café Griensteidl","6"
"Felix Salten","2167","Café Kremser","46","7","Directed","Felix Salten–Café Kremser","6"
"Felix Salten","2167","IX., Alsergrund","59","36","Directed","Felix Salten–IX., Alsergrund","6"
