Source,CorrID,Target,PlaceID,Overallcount,Type,Label,Weight
"Fedor Mamroth","4986","Frankfurt am Main","146","135","Directed","Fedor Mamroth–Frankfurt am Main","7"
"Fedor Mamroth","4986","Wien","50","1647","Directed","Fedor Mamroth–Wien","2"
"Fedor Mamroth","4986","Deutschland","151","97","Directed","Fedor Mamroth–Deutschland","2"
"Fedor Mamroth","4986","Berlin","168","570","Directed","Fedor Mamroth–Berlin","2"
"Fedor Mamroth","4986","Köthenerstraße","359","2","Directed","Fedor Mamroth–Köthenerstraße","1"
"Fedor Mamroth","4986","Breslau","677","18","Directed","Fedor Mamroth–Breslau","1"
"Fedor Mamroth","4986","Brüssel","862","15","Directed","Fedor Mamroth–Brüssel","1"
"Fedor Mamroth","4986","Leipzig","864","29","Directed","Fedor Mamroth–Leipzig","1"
"Fedor Mamroth","4986","Dresden","866","27","Directed","Fedor Mamroth–Dresden","1"
"Fedor Mamroth","4986","Österreich","41240","219","Directed","Fedor Mamroth–Österreich","1"
"Fedor Mamroth","4986","Berggasse","52510","17","Directed","Fedor Mamroth–Berggasse","1"
"Fedor Mamroth","4986","Seidengasse","53101","13","Directed","Fedor Mamroth–Seidengasse","1"
"Fedor Mamroth","4986","Altonaer Straße","89813","1","Directed","Fedor Mamroth–Altonaer Straße","1"
