Source,SourceID,Lat-Long-Sender,Target,TargetID,Lat-Long-Receiver,Type,Label,Weight
"Wien","50","48,208333 16,373056","II., Leopoldstadt","52","48,21667 16,4","Directed","Wien–II., Leopoldstadt","1"
"II., Leopoldstadt","52","48,21667 16,4","I., Innere Stadt","51","48,20769 16,37049","Directed","II., Leopoldstadt–I., Innere Stadt","1"
"I., Innere Stadt","51","48,20769 16,37049","Wollzeile 15 (»Berthahof«)","190427","48,208656 16,375924","Directed","I., Innere Stadt–Wollzeile 15 (»Berthahof«)","97"
"Kopenhagen","36300","55,67594 12,56553","Bad Ischl","213","47,71109 13,61893","Directed","Kopenhagen–Bad Ischl","2"
"Berlin","168","52,52437 13,41053","Berlin","168","52,52437 13,41053","Directed","Berlin–Berlin","49"
"Wien","50","48,208333 16,373056","Wien","50","48,208333 16,373056","Directed","Wien–Wien","1262"
"Wien","50","48,208333 16,373056","Österreichischer Hof","230","47,802045 13,043401","Directed","Wien–Österreichischer Hof","1"
"Kopenhagen","36300","55,67594 12,56553","Wien","50","48,208333 16,373056","Directed","Kopenhagen–Wien","20"
"Brünn","833","49,19522 16,60796","Brünn","833","49,19522 16,60796","Directed","Brünn–Brünn","2"
"Brünn","833","49,19522 16,60796","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Brünn–Tiefer Graben 17","1"
"Hofmannsthal-Schlössl","40297","48,133611 16,255556","Rodaun","173","48,132793312328 16,256152195922","Directed","Hofmannsthal-Schlössl–Rodaun","4"
"Rodaun","173","48,132793312328 16,256152195922","9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Directed","Rodaun–9/3 Post- und Telegraphenamt 72","6"
"9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Frankgasse 1","168934","48,21533 16,35736","Directed","9/3 Post- und Telegraphenamt 72–Frankgasse 1","80"
"St. Anton am Arlberg","212","47,1275 10,26372","Kopenhagen","36300","55,67594 12,56553","Directed","St. Anton am Arlberg–Kopenhagen","1"
"Wildbad Waldbrunn","723","46,751211 12,101269","Welsberg-Taisten","428","46,75774 12,10556","Directed","Wildbad Waldbrunn–Welsberg-Taisten","4"
"Welsberg-Taisten","428","46,75774 12,10556","Pörtschach am Wörthersee","44278","46,635556 14,1425","Directed","Welsberg-Taisten–Pörtschach am Wörthersee","1"
"Pörtschach am Wörthersee","44278","46,635556 14,1425","Villa Arnstein","1110","47,0277 14,4641","Directed","Pörtschach am Wörthersee–Villa Arnstein","11"
"Paris","182","48,85341 2,3488","Wien","50","48,208333 16,373056","Directed","Paris–Wien","187"
"Lido","259","45,38333 12,35","Lido","259","45,38333 12,35","Directed","Lido–Lido","2"
"Lido","259","45,38333 12,35","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","Lido–Edmund-Weiß-Gasse 7","3"
"Celerina","12589","46,5146 9,8622","Celerina","12589","46,5146 9,8622","Directed","Celerina–Celerina","3"
"Celerina","12589","46,5146 9,8622","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Celerina–Tiefer Graben 17","4"
"St. Gilgen","33","47,76667 13,36667","Villa Frühling","47674","nicht vorhanden","Directed","St. Gilgen–Villa Frühling","3"
"Paris","182","48,85341 2,3488","Paris","182","48,85341 2,3488","Directed","Paris–Paris","4"
"Padua","44156","45,40797 11,88586","Willergasse 2","231810","48,139276 16,257741","Directed","Padua–Willergasse 2","1"
"Rodaun","173","48,132793312328 16,256152195922","Wien","50","48,208333 16,373056","Directed","Rodaun–Wien","48"
"Kochgasse 8","249577","48,212327 16,349717","VII., Neubau","57","48,2 16,35","Directed","Kochgasse 8–VII., Neubau","1"
"VII., Neubau","57","48,2 16,35","Sternwartestraße 71","168815","48,23188 16,33716","Directed","VII., Neubau–Sternwartestraße 71","1"
"Nürnberg","44172","49,45421 11,07752","Nürnberg","44172","49,45421 11,07752","Directed","Nürnberg–Nürnberg","4"
"Nürnberg","44172","49,45421 11,07752","Vahrn","946","46,73901 11,63749","Directed","Nürnberg–Vahrn","2"
"Prievoz","148300","48,146297222222 17,167102777778","Wien","50","48,208333 16,373056","Directed","Prievoz–Wien","1"
"Frankfurt am Main","146","50,11552 8,68417","Wien","50","48,208333 16,373056","Directed","Frankfurt am Main–Wien","49"
"Wien","50","48,208333 16,373056","Salzburg","30","47,80067 13,04532","Directed","Wien–Salzburg","23"
"Frankgasse 1","168934","48,21533 16,35736","9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Directed","Frankgasse 1–9/3 Post- und Telegraphenamt 72","43"
"9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Baden bei Wien","662","48,00543 16,23264","Directed","9/3 Post- und Telegraphenamt 72–Baden bei Wien","1"
"Baden bei Wien","662","48,00543 16,23264","Kaiser-Franz-Ring 54","365095","48,010891 16,242066","Directed","Baden bei Wien–Kaiser-Franz-Ring 54","3"
"Wien","50","48,208333 16,373056","Poschingerstraße","1213","48,15353 11,6038","Directed","Wien–Poschingerstraße","2"
"9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Bad Ischl","213","47,71109 13,61893","Directed","9/3 Post- und Telegraphenamt 72–Bad Ischl","7"
"Bad Ischl","213","47,71109 13,61893","Eglmoosgasse 22","364910","47,712155 13,616607","Directed","Bad Ischl–Eglmoosgasse 22","14"
"Wien","50","48,208333 16,373056","München","45258","48,13743 11,57549","Directed","Wien–München","13"
"Velden am Wörthersee","909","46,61901 14,03129","Marienbad","772","49,964444 12,701944","Directed","Velden am Wörthersee–Marienbad","2"
"Le Mont-Saint-Michel","134981","48,635833 -1,510556","Hotel und Pension Rudolfshöhe (Leopold Petter)","414","47,706537 13,609575","Directed","Le Mont-Saint-Michel–Hotel und Pension Rudolfshöhe (Leopold Petter)","1"
"Westerweder Straße 12","364288","53,20177706 8,9298190066","Frankgasse 1","168934","48,21533 16,35736","Directed","Westerweder Straße 12–Frankgasse 1","3"
"Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Wien","50","48,208333 16,373056","Directed","Edmund-Weiß-Gasse 7–Wien","9"
"Wien","50","48,208333 16,373056","I., Innere Stadt","51","48,20769 16,37049","Directed","Wien–I., Innere Stadt","45"
"I., Innere Stadt","51","48,20769 16,37049","Tiefer Graben 23","207296","48,213038 16,368738","Directed","I., Innere Stadt–Tiefer Graben 23","85"
"Berlin","168","52,52437 13,41053","Wien","50","48,208333 16,373056","Directed","Berlin–Wien","211"
"Bad Fusch","305739","47,19939 12,85366","Wien","50","48,208333 16,373056","Directed","Bad Fusch–Wien","12"
"Vahrn","946","46,73901 11,63749","Kopenhagen","36300","55,67594 12,56553","Directed","Vahrn–Kopenhagen","1"
"Marienbad","772","49,964444 12,701944","Marienbad","772","49,964444 12,701944","Directed","Marienbad–Marienbad","2"
"Marienbad","772","49,964444 12,701944","Wien","50","48,208333 16,373056","Directed","Marienbad–Wien","4"
"Wien","50","48,208333 16,373056","Seis am Schlern","988","46,54133 11,55868","Directed","Wien–Seis am Schlern","3"
"Wien","50","48,208333 16,373056","Ottakringer Straße 114","237241","48,213619 16,323195","Directed","Wien–Ottakringer Straße 114","1"
"Antwerpen","995","51,2663 4,37077","Hasenauerstraße 59","235251","48,23365 16,33494","Directed","Antwerpen–Hasenauerstraße 59","1"
"9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Altona","1259","53,5725 9,8262","Directed","9/3 Post- und Telegraphenamt 72–Altona","1"
"Altona","1259","53,5725 9,8262","Palmaille 5","365128","53,545996 9,945167","Directed","Altona–Palmaille 5","1"
"Admont","49312","47,574904 14,460776","Admont","49312","47,574904 14,460776","Directed","Admont–Admont","2"
"Admont","49312","47,574904 14,460776","Altaussee","34401","47,639444 13,763333","Directed","Admont–Altaussee","1"
"Altaussee","34401","47,639444 13,763333","Altaussee","34401","47,639444 13,763333","Directed","Altaussee–Altaussee","19"
"Wien","50","48,208333 16,373056","Kopenhagen","36300","55,67594 12,56553","Directed","Wien–Kopenhagen","26"
"Bad Aussee","415","47,60998 13,78243","Wien","50","48,208333 16,373056","Directed","Bad Aussee–Wien","22"
"Berlin","168","52,52437 13,41053","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Berlin–Tiefer Graben 17","5"
"Wien","50","48,208333 16,373056","Pötzleinsdorf","169","48,246838181084 16,300034240016","Directed","Wien–Pötzleinsdorf","1"
"Weimar","197","50,97361 11,33806","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","Weimar–Edmund-Weiß-Gasse 7","2"
"Wien","50","48,208333 16,373056","Hinterbrühl","75","48,08611 16,24809","Directed","Wien–Hinterbrühl","4"
"Meran","43520","46,66817 11,15953","Wien","50","48,208333 16,373056","Directed","Meran–Wien","13"
"Genua","994","44,40478 8,94439","Genua","994","44,40478 8,94439","Directed","Genua–Genua","5"
"Genua","994","44,40478 8,94439","Hasenauerstraße 59","235251","48,23365 16,33494","Directed","Genua–Hasenauerstraße 59","1"
"Tiefer Graben 23","207296","48,213038 16,368738","Frankgasse 1","168934","48,21533 16,35736","Directed","Tiefer Graben 23–Frankgasse 1","1"
"München","45258","48,13743 11,57549","Haus Bahr","207274","48,186771 16,261305","Directed","München–Haus Bahr","1"
