Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Marie Herzfeld","11666","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Marie Herzfeld–Liebelei. Schauspiel in drei Akten","1"
"Marie Herzfeld","11666","Anatol","29935","96","Directed","Marie Herzfeld–Anatol","2"
"Marie Herzfeld","11666","Der einsame Weg. Schauspiel in fünf Akten","29985","58","Directed","Marie Herzfeld–Der einsame Weg. Schauspiel in fünf Akten","1"
"Marie Herzfeld","11666","Der Ruf des Lebens. Schauspiel in drei Akten","29905","34","Directed","Marie Herzfeld–Der Ruf des Lebens. Schauspiel in drei Akten","1"
"Marie Herzfeld","11666","Zwischenspiel. Komödie in drei Akten","29903","26","Directed","Marie Herzfeld–Zwischenspiel. Komödie in drei Akten","2"
"Auguste Hauschner","2524","Der Weg ins Freie. Roman","29923","47","Directed","Auguste Hauschner–Der Weg ins Freie. Roman","3"
"Marie von Ebner-Eschenbach","11216","Lieutenant Gustl. Novelle","29853","31","Directed","Marie von Ebner-Eschenbach–Lieutenant Gustl. Novelle","1"
"Therese Rie-Andro","4836","Der einsame Weg. Schauspiel in fünf Akten","29985","58","Directed","Therese Rie-Andro–Der einsame Weg. Schauspiel in fünf Akten","1"
"Therese Rie-Andro","4836","Der Weg ins Freie. Roman","29923","47","Directed","Therese Rie-Andro–Der Weg ins Freie. Roman","1"
"Therese Rie-Andro","4836","Das weite Land. Tragikomödie in fünf Akten","30207","30","Directed","Therese Rie-Andro–Das weite Land. Tragikomödie in fünf Akten","1"
"Therese Rie-Andro","4836","Professor Bernhardi. Komödie in fünf Akten","30203","18","Directed","Therese Rie-Andro–Professor Bernhardi. Komödie in fünf Akten","3"
"Therese Rie-Andro","4836","Literatur","29869","16","Directed","Therese Rie-Andro–Literatur","1"
"Ludwig Ganghofer","11402","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Ludwig Ganghofer–Der grüne Kakadu. Groteske in einem Akt","2"
"Adalbert Franz Seligmann","12769","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Adalbert Franz Seligmann–Der Schleier der Beatrice. Schauspiel in fünf Akten","1"
"Adalbert Franz Seligmann","12769","Reigen. Zehn Dialoge","29855","55","Directed","Adalbert Franz Seligmann–Reigen. Zehn Dialoge","2"
"Adalbert Franz Seligmann","12769","Zwischenspiel. Komödie in drei Akten","29903","26","Directed","Adalbert Franz Seligmann–Zwischenspiel. Komödie in drei Akten","1"
"Ferdinand von Saar","12602","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Ferdinand von Saar–Liebelei. Schauspiel in drei Akten","1"
"Ferdinand von Saar","12602","Anatol","29935","96","Directed","Ferdinand von Saar–Anatol","1"
"Ferdinand von Saar","12602","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Ferdinand von Saar–Das Märchen. Schauspiel in drei Aufzügen","1"
"Ferdinand von Saar","12602","Sterben. Novelle","30117","52","Directed","Ferdinand von Saar–Sterben. Novelle","1"
"Ferdinand von Saar","12602","Lieutenant Gustl. Novelle","29853","31","Directed","Ferdinand von Saar–Lieutenant Gustl. Novelle","1"
"Ferdinand von Saar","12602","Frau Bertha Garlan. Roman","30486","30","Directed","Ferdinand von Saar–Frau Bertha Garlan. Roman","1"
"Robert Adam","12438","Das weite Land. Tragikomödie in fünf Akten","30207","30","Directed","Robert Adam–Das weite Land. Tragikomödie in fünf Akten","1"
"Robert Adam","12438","Professor Bernhardi. Komödie in fünf Akten","30203","18","Directed","Robert Adam–Professor Bernhardi. Komödie in fünf Akten","1"
"Peter Altenberg","2147","Der Weg ins Freie. Roman","29923","47","Directed","Peter Altenberg–Der Weg ins Freie. Roman","1"
"Peter Altenberg","2147","Das Vermächtnis. Schauspiel in drei Akten","30219","37","Directed","Peter Altenberg–Das Vermächtnis. Schauspiel in drei Akten","1"
"Lou Andreas-Salomé","10762","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Lou Andreas-Salomé–Liebelei. Schauspiel in drei Akten","4"
"Lou Andreas-Salomé","10762","Anatol","29935","96","Directed","Lou Andreas-Salomé–Anatol","2"
"Lou Andreas-Salomé","10762","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Lou Andreas-Salomé–Das Märchen. Schauspiel in drei Aufzügen","2"
"Lou Andreas-Salomé","10762","Der Ruf des Lebens. Schauspiel in drei Akten","29905","34","Directed","Lou Andreas-Salomé–Der Ruf des Lebens. Schauspiel in drei Akten","1"
"Lou Andreas-Salomé","10762","Frau Bertha Garlan. Roman","30486","30","Directed","Lou Andreas-Salomé–Frau Bertha Garlan. Roman","1"
"Hermann Bahr","10815","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Hermann Bahr–Liebelei. Schauspiel in drei Akten","9"
"Hermann Bahr","10815","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Hermann Bahr–Der Schleier der Beatrice. Schauspiel in fünf Akten","10"
"Hermann Bahr","10815","Anatol","29935","96","Directed","Hermann Bahr–Anatol","6"
"Hermann Bahr","10815","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Hermann Bahr–Das Märchen. Schauspiel in drei Aufzügen","5"
"Hermann Bahr","10815","Freiwild. Schauspiel in 3 Akten","29899","62","Directed","Hermann Bahr–Freiwild. Schauspiel in 3 Akten","4"
"Hermann Bahr","10815","Der einsame Weg. Schauspiel in fünf Akten","29985","58","Directed","Hermann Bahr–Der einsame Weg. Schauspiel in fünf Akten","11"
"Hermann Bahr","10815","Reigen. Zehn Dialoge","29855","55","Directed","Hermann Bahr–Reigen. Zehn Dialoge","20"
"Hermann Bahr","10815","Der Weg ins Freie. Roman","29923","47","Directed","Hermann Bahr–Der Weg ins Freie. Roman","2"
"Hermann Bahr","10815","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Hermann Bahr–Der grüne Kakadu. Groteske in einem Akt","6"
"Hermann Bahr","10815","Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","29937","40","Directed","Hermann Bahr–Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","10"
"Hermann Bahr","10815","Lebendige Stunden. Vier Einakter","29863","38","Directed","Hermann Bahr–Lebendige Stunden. Vier Einakter","7"
"Hermann Bahr","10815","Das Vermächtnis. Schauspiel in drei Akten","30219","37","Directed","Hermann Bahr–Das Vermächtnis. Schauspiel in drei Akten","3"
"Hermann Bahr","10815","Der Ruf des Lebens. Schauspiel in drei Akten","29905","34","Directed","Hermann Bahr–Der Ruf des Lebens. Schauspiel in drei Akten","9"
