Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Georg Brandes","10992","Wolfgang Goethe","32093","11","Directed","Georg Brandes–Wolfgang Goethe","11"
"Georg Brandes","10992","Gaius Julius Cæsar","33376","10","Directed","Georg Brandes–Gaius Julius Cæsar","10"
"Georg Brandes","10992","Voltaire und sein Jahrhundert","33237","8","Directed","Georg Brandes–Voltaire und sein Jahrhundert","8"
"Georg Brandes","10992","William Shakespeare","32159","9","Directed","Georg Brandes–William Shakespeare","7"
"Georg Brandes","10992","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Georg Brandes–Der grüne Kakadu. Groteske in einem Akt","6"
"Georg Brandes","10992","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Georg Brandes–Der Schleier der Beatrice. Schauspiel in fünf Akten","6"
"Georg Brandes","10992","Professor Bernhardi. Komödie in fünf Akten","30203","18","Directed","Georg Brandes–Professor Bernhardi. Komödie in fünf Akten","6"
"Georg Brandes","10992","Das Vermächtnis. Schauspiel in drei Akten","30219","37","Directed","Georg Brandes–Das Vermächtnis. Schauspiel in drei Akten","6"
"Georg Brandes","10992","Lieutenant Gustl. Novelle","29853","31","Directed","Georg Brandes–Lieutenant Gustl. Novelle","5"
"Georg Brandes","10992","Freiwild. Schauspiel in 3 Akten","29899","62","Directed","Georg Brandes–Freiwild. Schauspiel in 3 Akten","5"
"Georg Brandes","10992","Hauptströmungen der Literatur des neunzehnten Jahrhunderts","31977","6","Directed","Georg Brandes–Hauptströmungen der Literatur des neunzehnten Jahrhunderts","5"
"Georg Brandes","10992","Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","32562","28","Directed","Georg Brandes–Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","5"
"Georg Brandes","10992","Ungdomsvers [Jugendgedichte]","33293","5","Directed","Georg Brandes–Ungdomsvers [Jugendgedichte]","5"
"Georg Brandes","10992","Michelangelo Buonarotti","33384","5","Directed","Georg Brandes–Michelangelo Buonarotti","5"
"Georg Brandes","10992","Anatol","29935","96","Directed","Georg Brandes–Anatol","4"
"Georg Brandes","10992","Komödie der Verführung. In drei Akten","30205","12","Directed","Georg Brandes–Komödie der Verführung. In drei Akten","4"
"Georg Brandes","10992","Das weite Land. Tragikomödie in fünf Akten","30207","30","Directed","Georg Brandes–Das weite Land. Tragikomödie in fünf Akten","4"
"Georg Brandes","10992","Der Gang zum Weiher. Dramatische Dichtung","30775","10","Directed","Georg Brandes–Der Gang zum Weiher. Dramatische Dichtung","4"
"Georg Brandes","10992","Samlede Skrifter [Gesammelte Werke]","33295","4","Directed","Georg Brandes–Samlede Skrifter [Gesammelte Werke]","4"
"Georg Brandes","10992","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Georg Brandes–Das Märchen. Schauspiel in drei Aufzügen","3"
"Georg Brandes","10992","Reigen. Zehn Dialoge","29855","55","Directed","Georg Brandes–Reigen. Zehn Dialoge","3"
"Georg Brandes","10992","Der Ruf des Lebens. Schauspiel in drei Akten","29905","34","Directed","Georg Brandes–Der Ruf des Lebens. Schauspiel in drei Akten","3"
"Georg Brandes","10992","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Georg Brandes–Liebelei. Schauspiel in drei Akten","3"
"Georg Brandes","10992","Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","29937","40","Directed","Georg Brandes–Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","3"
"Georg Brandes","10992","Der einsame Weg. Schauspiel in fünf Akten","29985","58","Directed","Georg Brandes–Der einsame Weg. Schauspiel in fünf Akten","3"
"Georg Brandes","10992","Frau Bertha Garlan. Roman","30486","30","Directed","Georg Brandes–Frau Bertha Garlan. Roman","3"
"Georg Brandes","10992","Komödie der Worte. Drei Einakter","30717","7","Directed","Georg Brandes–Komödie der Worte. Drei Einakter","3"
"Georg Brandes","10992","Die Schwestern oder Casanova in Spa. Lustspiel in Versen","30819","16","Directed","Georg Brandes–Die Schwestern oder Casanova in Spa. Lustspiel in Versen","3"
"Georg Brandes","10992","Casanovas Heimfahrt","30971","11","Directed","Georg Brandes–Casanovas Heimfahrt","3"
"Georg Brandes","10992","Die Brüder Menthe","32095","3","Directed","Georg Brandes–Die Brüder Menthe","3"
