Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Felix Braun","11002","Fräulein Else","29941","11","Directed","Felix Braun–Fräulein Else","4"
"Felix Braun","11002","Komödie der Verführung. In drei Akten","30205","12","Directed","Felix Braun–Komödie der Verführung. In drei Akten","2"
"Felix Braun","11002","Gesammelte Werke","30313","6","Directed","Felix Braun–Gesammelte Werke","2"
"Felix Braun","11002","Die Frau des Richters. Novelle","30751","5","Directed","Felix Braun–Die Frau des Richters. Novelle","2"
"Felix Braun","11002","Der Gang zum Weiher. Dramatische Dichtung","30775","10","Directed","Felix Braun–Der Gang zum Weiher. Dramatische Dichtung","2"
"Felix Braun","11002","Die Schwestern oder Casanova in Spa. Lustspiel in Versen","30819","16","Directed","Felix Braun–Die Schwestern oder Casanova in Spa. Lustspiel in Versen","2"
"Felix Braun","11002","Casanovas Heimfahrt","30971","11","Directed","Felix Braun–Casanovas Heimfahrt","2"
"Felix Braun","11002","Der einsame Weg. Schauspiel in fünf Akten","29985","58","Directed","Felix Braun–Der einsame Weg. Schauspiel in fünf Akten","1"
"Felix Braun","11002","Buch der Sprüche und Bedenken","30053","14","Directed","Felix Braun–Buch der Sprüche und Bedenken","1"
"Felix Braun","11002","Sterben. Novelle","30117","52","Directed","Felix Braun–Sterben. Novelle","1"
"Felix Braun","11002","Doktor Gräsler, Badearzt","30201","4","Directed","Felix Braun–Doktor Gräsler, Badearzt","1"
"Felix Braun","11002","Spiel im Morgengrauen. Novelle","32131","4","Directed","Felix Braun–Spiel im Morgengrauen. Novelle","1"
"Felix Braun","11002","Zum Abschied","33261","1","Directed","Felix Braun–Zum Abschied","1"
"Felix Braun","11002","Wunderstunden. Drei Erzählungen","33564","1","Directed","Felix Braun–Wunderstunden. Drei Erzählungen","1"
"Felix Braun","11002","Tantalos","33568","1","Directed","Felix Braun–Tantalos","1"
"Felix Braun","11002","Die Taten des Herakles. Roman","33574","1","Directed","Felix Braun–Die Taten des Herakles. Roman","1"
