Source,Target,Weight,Type
"Grossmann, Stefan","Das Tage-Buch",7,Directed
"Grossmann, Stefan","Lieutenant Gustl. Novelle",4,Directed
"Grossmann, Stefan","Das neue Lied",4,Directed
"Grossmann, Stefan","Die letzten Masken",4,Directed
"Grossmann, Stefan","Reigen. Zehn Dialoge",3,Directed
"Grossmann, Stefan","Das weite Land. Tragikomödie in fünf Akten",3,Directed
"Grossmann, Stefan","Bemerkungen",3,Directed
"Grossmann, Stefan","Neue Freie Presse",3,Directed
"Grossmann, Stefan","Buch der Sprüche und Bedenken",3,Directed
"Grossmann, Stefan","Excentric",2,Directed
"Grossmann, Stefan","Literatur",2,Directed
"Grossmann, Stefan","Die Frage an das Schicksal",2,Directed
"Grossmann, Stefan","Ein halber Held. Tragödie in fünf Aufzügen",2,Directed
"Grossmann, Stefan","Schnitzlers »Weites Land«. Erste Aufführung im Burgtheater",2,Directed
"Grossmann, Stefan","Professor Bernhardi. Komödie in fünf Akten",2,Directed
"Grossmann, Stefan","Reigen",2,Directed
"Grossmann, Stefan","Hänischs Reigen. Eine unsittliche Szenenfolge",2,Directed
"Grossmann, Stefan","Bemerkungen. (Aus dem noch unveröffentlichten „Buch der Sprüche und Bedenken“.)",2,Directed
"Grossmann, Stefan","Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter",1,Directed
"Grossmann, Stefan","Lebendige Stunden. Vier Einakter",1,Directed
"Grossmann, Stefan","Die griechische Tänzerin. Novellette",1,Directed
"Grossmann, Stefan","Dämmerseele",1,Directed
"Grossmann, Stefan","Der Puppenspieler. Studie in einem Aufzuge",1,Directed
"Grossmann, Stefan","Der Ruf des Lebens. Schauspiel in drei Akten",1,Directed
"Grossmann, Stefan","Arthur Schnitzler: Der Ruf des Lebens. Zur ersten Aufführung im Deutschen Volkstheater",1,Directed
"Grossmann, Stefan","Der Strom. Organ der Wiener Freien Volksbühne",1,Directed
"Grossmann, Stefan","Arbeiter-Zeitung",1,Directed
"Grossmann, Stefan","Komödie der Worte. Drei Einakter",1,Directed
"Grossmann, Stefan","Die Zukunft",1,Directed
"Grossmann, Stefan","Tilla zürnt der Zeit",1,Directed
