Source,Target,Weight,Type
"Blumenthal, Oskar","Das Märchen. Schauspiel in drei Aufzügen",5,Directed
"Blumenthal, Oskar","Anatol",2,Directed
"Blumenthal, Oskar","Tagebuch",1,Directed
"Blumenthal, Oskar","Abschiedssouper",1,Directed
"Blumenthal, Oskar","Weihnachts-Einkäufe",1,Directed
"Blumenthal, Oskar","Die Frage an das Schicksal",1,Directed
"Blumenthal, Oskar","Episode",1,Directed
"Blumenthal, Oskar","Morituri",1,Directed
"Blumenthal, Oskar","Denksteine",1,Directed
"Blumenthal, Oskar","Agonie",1,Directed
