Source,Target,Type,Label,Weight
"Gerhart Hauptmann","Margarete Hauptmann","Directed","Gerhart Hauptmann–Margarete Hauptmann","4"
"Gerhart Hauptmann","Otto Brahm","Directed","Gerhart Hauptmann–Otto Brahm","3"
"Gerhart Hauptmann","Hugo von Hofmannsthal","Directed","Gerhart Hauptmann–Hugo von Hofmannsthal","2"
"Gerhart Hauptmann","Isidor Singer","Directed","Gerhart Hauptmann–Isidor Singer","2"
"Gerhart Hauptmann","Emil Rudolf Weiß","Directed","Gerhart Hauptmann–Emil Rudolf Weiß","1"
"Gerhart Hauptmann","Hermann Bahr","Directed","Gerhart Hauptmann–Hermann Bahr","1"
"Gerhart Hauptmann","Max Eugen Burckhard","Directed","Gerhart Hauptmann–Max Eugen Burckhard","1"
"Gerhart Hauptmann","Samuel Fischer","Directed","Gerhart Hauptmann–Samuel Fischer","1"
"Gerhart Hauptmann","Siegfried Knapitsch","Directed","Gerhart Hauptmann–Siegfried Knapitsch","1"
"Gerhart Hauptmann","Weichert","Directed","Gerhart Hauptmann–Weichert","1"
"Gerhart Hauptmann","Litmica","Directed","Gerhart Hauptmann–Litmica","1"
"Gerhart Hauptmann","Marie Hauptmann","Directed","Gerhart Hauptmann–Marie Hauptmann","1"
"Gerhart Hauptmann","Anna Otto","Directed","Gerhart Hauptmann–Anna Otto","1"
"Gerhart Hauptmann","Fischer","Directed","Gerhart Hauptmann–Fischer","1"
