Source,CorrID,Target,PersID,Overallcount,Type,Label,Weight
"Marie Herzfeld","11666","Hugo von Hofmannsthal","11740","271","Directed","Marie Herzfeld–Hugo von Hofmannsthal","3"
"Marie Herzfeld","11666","Peter Rotenstern","2992","5","Directed","Marie Herzfeld–Peter Rotenstern","2"
"Marie Herzfeld","11666","Anna Rotenstern-Tesi","23640","2","Directed","Marie Herzfeld–Anna Rotenstern-Tesi","2"
"Marie Herzfeld","11666","Arthur Schnitzler","2121","39","Directed","Marie Herzfeld–Arthur Schnitzler","1"
"Marie Herzfeld","11666","Alice Barbi","3031","1","Directed","Marie Herzfeld–Alice Barbi","1"
"Marie Herzfeld","11666","Georg von Seybel","3058","1","Directed","Marie Herzfeld–Georg von Seybel","1"
"Marie Herzfeld","11666","Herman Bang","10828","2","Directed","Marie Herzfeld–Herman Bang","1"
"Marie Herzfeld","11666","Georg Brandes","10992","37","Directed","Marie Herzfeld–Georg Brandes","1"
"Marie Herzfeld","11666","Sophus Michaëlis","12251","1","Directed","Marie Herzfeld–Sophus Michaëlis","1"
"Marie Herzfeld","11666","Heinrich Schnitzler","12692","114","Directed","Marie Herzfeld–Heinrich Schnitzler","1"
"Marie Herzfeld","11666","Johann Schnitzler","12695","22","Directed","Marie Herzfeld–Johann Schnitzler","1"
"Marie Herzfeld","11666","Karl Schönherr","12749","6","Directed","Marie Herzfeld–Karl Schönherr","1"
"Marie Herzfeld","11666","Heinrich Zimmer","13183","4","Directed","Marie Herzfeld–Heinrich Zimmer","1"
"Marie Herzfeld","11666","Marie Schey","24118","1","Directed","Marie Herzfeld–Marie Schey","1"
"Marie Herzfeld","11666","Alfred Spitzer","65479","2","Directed","Marie Herzfeld–Alfred Spitzer","1"
"Marie Herzfeld","11666","Reinhard Urbach","65504","1","Directed","Marie Herzfeld–Reinhard Urbach","1"
