Source,CorrID,Target,PersID,Overallcount,Type,Label,Weight
"Friedrich M. Fels","2450","Richard Beer-Hofmann","10863","356","Directed","Friedrich M. Fels–Richard Beer-Hofmann","10"
"Friedrich M. Fels","2450","Hugo von Hofmannsthal","11740","271","Directed","Friedrich M. Fels–Hugo von Hofmannsthal","7"
"Friedrich M. Fels","2450","Jakob Julius David","2416","10","Directed","Friedrich M. Fels–Jakob Julius David","4"
"Friedrich M. Fels","2450","Felix Salten","2167","130","Directed","Friedrich M. Fels–Felix Salten","3"
"Friedrich M. Fels","2450","Julius von Gans-Ludassy","11406","22","Directed","Friedrich M. Fels–Julius von Gans-Ludassy","3"
"Friedrich M. Fels","2450","Robert Hirschfeld","11707","26","Directed","Friedrich M. Fels–Robert Hirschfeld","3"
"Friedrich M. Fels","2450","Joseph Schreiber","24499","4","Directed","Friedrich M. Fels–Joseph Schreiber","3"
"Friedrich M. Fels","2450","Heinrich Osten","2509","6","Directed","Friedrich M. Fels–Heinrich Osten","2"
"Friedrich M. Fels","2450","Hugo Bettauer","6294","2","Directed","Friedrich M. Fels–Hugo Bettauer","2"
"Friedrich M. Fels","2450","Karl Friedrich Henckell","7784","2","Directed","Friedrich M. Fels–Karl Friedrich Henckell","2"
"Friedrich M. Fels","2450","Hermann Bahr","10815","208","Directed","Friedrich M. Fels–Hermann Bahr","2"
"Friedrich M. Fels","2450","John Henry Mackay","12152","2","Directed","Friedrich M. Fels–John Henry Mackay","2"
"Friedrich M. Fels","2450","Edmund Wengraf","13088","10","Directed","Friedrich M. Fels–Edmund Wengraf","2"
"Friedrich M. Fels","2450","Ludwig Gelber","16962","2","Directed","Friedrich M. Fels–Ludwig Gelber","2"
"Friedrich M. Fels","2450","Josef Steinbach","25390","2","Directed","Friedrich M. Fels–Josef Steinbach","2"
"Friedrich M. Fels","2450","?? [Vermieter von F. M. Fels]","41903","2","Directed","Friedrich M. Fels–?? [Vermieter von F. M. Fels]","2"
"Friedrich M. Fels","2450","Josef Drassl","42413","2","Directed","Friedrich M. Fels–Josef Drassl","2"
"Friedrich M. Fels","2450","Peter Altenberg","2147","36","Directed","Friedrich M. Fels–Peter Altenberg","1"
"Friedrich M. Fels","2450","Eduard Michael Kafka","2563","10","Directed","Friedrich M. Fels–Eduard Michael Kafka","1"
"Friedrich M. Fels","2450","Emil Granichstaedten","2586","8","Directed","Friedrich M. Fels–Emil Granichstaedten","1"
"Friedrich M. Fels","2450","Hugo Gerlach","2820","1","Directed","Friedrich M. Fels–Hugo Gerlach","1"
"Friedrich M. Fels","2450","Joseph Victor Widmann","3557","2","Directed","Friedrich M. Fels–Joseph Victor Widmann","1"
"Friedrich M. Fels","2450","Clara Schreiber","4329","2","Directed","Friedrich M. Fels–Clara Schreiber","1"
"Friedrich M. Fels","2450","Charles Sealsfield","4688","1","Directed","Friedrich M. Fels–Charles Sealsfield","1"
"Friedrich M. Fels","2450","Maximilian Egon von Fürstenberg","7315","1","Directed","Friedrich M. Fels–Maximilian Egon von Fürstenberg","1"
"Friedrich M. Fels","2450","Carl Spitteler","9964","1","Directed","Friedrich M. Fels–Carl Spitteler","1"
"Friedrich M. Fels","2450","Wilhelm Bölsche","11061","6","Directed","Friedrich M. Fels–Wilhelm Bölsche","1"
"Friedrich M. Fels","2450","Heinrich Glücksmann","11454","5","Directed","Friedrich M. Fels–Heinrich Glücksmann","1"
"Friedrich M. Fels","2450","Max Halbe","11565","7","Directed","Friedrich M. Fels–Max Halbe","1"
"Friedrich M. Fels","2450","Karl Kraus","11988","27","Directed","Friedrich M. Fels–Karl Kraus","1"
"Friedrich M. Fels","2450","Gilbert Otto Neumann-Hofer","12348","12","Directed","Friedrich M. Fels–Gilbert Otto Neumann-Hofer","1"
"Friedrich M. Fels","2450","Friedrich Nietzsche","12358","11","Directed","Friedrich M. Fels–Friedrich Nietzsche","1"
"Friedrich M. Fels","2450","Eduard Pötzl","12460","7","Directed","Friedrich M. Fels–Eduard Pötzl","1"
"Friedrich M. Fels","2450","Ludwig Speidel","12816","12","Directed","Friedrich M. Fels–Ludwig Speidel","1"
"Friedrich M. Fels","2450","Friedrich Uhl","12987","9","Directed","Friedrich M. Fels–Friedrich Uhl","1"
"Friedrich M. Fels","2450","Fanny Gröger","17465","2","Directed","Friedrich M. Fels–Fanny Gröger","1"
"Friedrich M. Fels","2450","Jaques Joachim","18870","6","Directed","Friedrich M. Fels–Jaques Joachim","1"
"Friedrich M. Fels","2450","Heinrich von Korff","19610","4","Directed","Friedrich M. Fels–Heinrich von Korff","1"
"Friedrich M. Fels","2450","Max Pollandt","22759","2","Directed","Friedrich M. Fels–Max Pollandt","1"
"Friedrich M. Fels","2450","Moritz Rosenthal","23605","3","Directed","Friedrich M. Fels–Moritz Rosenthal","1"
"Friedrich M. Fels","2450","Paul von Schönthan-Pernwald","24705","4","Directed","Friedrich M. Fels–Paul von Schönthan-Pernwald","1"
"Friedrich M. Fels","2450","Franz Held","41781","1","Directed","Friedrich M. Fels–Franz Held","1"
"Friedrich M. Fels","2450","?? [Vermieterin von F. M. Fels]","41825","1","Directed","Friedrich M. Fels–?? [Vermieterin von F. M. Fels]","1"
"Friedrich M. Fels","2450","Wilhelm Rullmann","41837","1","Directed","Friedrich M. Fels–Wilhelm Rullmann","1"
"Friedrich M. Fels","2450","Wilhelm Lauser","41857","1","Directed","Friedrich M. Fels–Wilhelm Lauser","1"
