Source,CorrID,Target,PlaceID,Overallcount,Type,Label,Weight
"Hermann Bahr","10815","Wien","50","1647","Directed","Hermann Bahr–Wien","142"
"Hermann Bahr","10815","Berlin","168","570","Directed","Hermann Bahr–Berlin","56"
"Hermann Bahr","10815","Edmund-Weiß-Gasse 7","168940","318","Directed","Hermann Bahr–Edmund-Weiß-Gasse 7","55"
"Hermann Bahr","10815","Ober Sankt Veit","165","39","Directed","Hermann Bahr–Ober Sankt Veit","39"
"Hermann Bahr","10815","Günthergasse","296","41","Directed","Hermann Bahr–Günthergasse","39"
"Hermann Bahr","10815","XVIII., Währing","68","210","Directed","Hermann Bahr–XVIII., Währing","34"
"Hermann Bahr","10815","Veitlissengasse","220","28","Directed","Hermann Bahr–Veitlissengasse","28"
"Hermann Bahr","10815","Sternwartestraße 71","168815","259","Directed","Hermann Bahr–Sternwartestraße 71","24"
"Hermann Bahr","10815","Frankgasse 1","168934","225","Directed","Hermann Bahr–Frankgasse 1","21"
"Hermann Bahr","10815","Salzburg","30","194","Directed","Hermann Bahr–Salzburg","17"
"Hermann Bahr","10815","München","45258","154","Directed","Hermann Bahr–München","15"
"Hermann Bahr","10815","Semmering","189","91","Directed","Hermann Bahr–Semmering","13"
"Hermann Bahr","10815","Österreich","41240","219","Directed","Hermann Bahr–Österreich","13"
"Hermann Bahr","10815","Steyrerhof","683","12","Directed","Hermann Bahr–Steyrerhof","12"
"Hermann Bahr","10815","XIII., Hietzing","63","35","Directed","Hermann Bahr–XIII., Hietzing","11"
"Hermann Bahr","10815","Burgtheater","14","55","Directed","Hermann Bahr–Burgtheater","8"
"Hermann Bahr","10815","Deutschland","151","97","Directed","Hermann Bahr–Deutschland","7"
"Hermann Bahr","10815","Deutsches Theater Berlin","3","22","Directed","Hermann Bahr–Deutsches Theater Berlin","6"
"Hermann Bahr","10815","Volkstheater","20","27","Directed","Hermann Bahr–Volkstheater","6"
"Hermann Bahr","10815","IX., Alsergrund","59","36","Directed","Hermann Bahr–IX., Alsergrund","6"
"Hermann Bahr","10815","Bad Ischl","213","211","Directed","Hermann Bahr–Bad Ischl","6"
"Hermann Bahr","10815","Venedig","462","68","Directed","Hermann Bahr–Venedig","6"
"Hermann Bahr","10815","I., Innere Stadt","51","25","Directed","Hermann Bahr–I., Innere Stadt","5"
"Hermann Bahr","10815","Paris","182","232","Directed","Hermann Bahr–Paris","5"
"Hermann Bahr","10815","London","224","19","Directed","Hermann Bahr–London","5"
"Hermann Bahr","10815","Hebbel-Theater","13","4","Directed","Hermann Bahr–Hebbel-Theater","4"
"Hermann Bahr","10815","Salesianergasse","76","13","Directed","Hermann Bahr–Salesianergasse","4"
"Hermann Bahr","10815","Barerstraße","161","4","Directed","Hermann Bahr–Barerstraße","4"
"Hermann Bahr","10815","Südbahnhotel","413","16","Directed","Hermann Bahr–Südbahnhotel","4"
"Hermann Bahr","10815","Bayreuth","734","24","Directed","Hermann Bahr–Bayreuth","4"
