Source,Target,Type,Label,Weight
"Wilhelm Bölsche","Ordination Dr. Arthur Schnitzler Giselastraße 11","Directed","Wilhelm Bölsche–Ordination Dr. Arthur Schnitzler Giselastraße 11","8"
"Wilhelm Bölsche","Friedrichshagen","Directed","Wilhelm Bölsche–Friedrichshagen","7"
"Wilhelm Bölsche","Grillparzerstraße","Directed","Wilhelm Bölsche–Grillparzerstraße","5"
"Wilhelm Bölsche","Berlin","Directed","Wilhelm Bölsche–Berlin","4"
"Wilhelm Bölsche","Wien","Directed","Wilhelm Bölsche–Wien","3"
"Wilhelm Bölsche","Peter-Hille-Straße","Directed","Wilhelm Bölsche–Peter-Hille-Straße","3"
"Wilhelm Bölsche","Linkstraße","Directed","Wilhelm Bölsche–Linkstraße","2"
"Wilhelm Bölsche","Frankgasse 1","Directed","Wilhelm Bölsche–Frankgasse 1","2"
"Wilhelm Bölsche","Volkstheater","Directed","Wilhelm Bölsche–Volkstheater","1"
"Wilhelm Bölsche","IX., Alsergrund","Directed","Wilhelm Bölsche–IX., Alsergrund","1"
"Wilhelm Bölsche","Bad Ischl","Directed","Wilhelm Bölsche–Bad Ischl","1"
"Wilhelm Bölsche","Köthenerstraße","Directed","Wilhelm Bölsche–Köthenerstraße","1"
"Wilhelm Bölsche","Enge","Directed","Wilhelm Bölsche–Enge","1"
"Wilhelm Bölsche","Seewartstraße","Directed","Wilhelm Bölsche–Seewartstraße","1"
"Wilhelm Bölsche","Kärntnerring 12/Bösendorferstraße 11","Directed","Wilhelm Bölsche–Kärntnerring 12/Bösendorferstraße 11","1"
