Source,CorrID,Target,PlaceID,Overallcount,Type,Label,Weight
"Detlev von Liliencron","12071","Hamburg","506","31","Directed","Detlev von Liliencron–Hamburg","2"
"Detlev von Liliencron","12071","Palmaille","1258","2","Directed","Detlev von Liliencron–Palmaille","2"
"Detlev von Liliencron","12071","Wien","50","1647","Directed","Detlev von Liliencron–Wien","1"
"Detlev von Liliencron","12071","IX., Alsergrund","59","36","Directed","Detlev von Liliencron–IX., Alsergrund","1"
"Detlev von Liliencron","12071","XVIII., Währing","68","210","Directed","Detlev von Liliencron–XVIII., Währing","1"
"Detlev von Liliencron","12071","Deutschland","151","97","Directed","Detlev von Liliencron–Deutschland","1"
"Detlev von Liliencron","12071","Edlach","470","22","Directed","Detlev von Liliencron–Edlach","1"
"Detlev von Liliencron","12071","Altona","1259","1","Directed","Detlev von Liliencron–Altona","1"
"Detlev von Liliencron","12071","Schloss Schönbrunn","21799","8","Directed","Detlev von Liliencron–Schloss Schönbrunn","1"
"Detlev von Liliencron","12071","Rahlstedt","61082","1","Directed","Detlev von Liliencron–Rahlstedt","1"
"Detlev von Liliencron","12071","Frankgasse 1","168934","225","Directed","Detlev von Liliencron–Frankgasse 1","1"
"Detlev von Liliencron","12071","Edmund-Weiß-Gasse 7","168940","318","Directed","Detlev von Liliencron–Edmund-Weiß-Gasse 7","1"
