Source,CorrID,Target,PlaceID,Overallcount,Type,Label,Weight
"Therese Rie-Andro","4836","Wien","50","1647","Directed","Therese Rie-Andro–Wien","9"
"Therese Rie-Andro","4836","Schönburgstraße","52498","7","Directed","Therese Rie-Andro–Schönburgstraße","7"
"Therese Rie-Andro","4836","Straßburg","319","5","Directed","Therese Rie-Andro–Straßburg","2"
"Therese Rie-Andro","4836","Oberbayern","1201","6","Directed","Therese Rie-Andro–Oberbayern","2"
"Therese Rie-Andro","4836","Bernried","47503","2","Directed","Therese Rie-Andro–Bernried","2"
"Therese Rie-Andro","4836","Hotel Seeblick","56099","2","Directed","Therese Rie-Andro–Hotel Seeblick","2"
"Therese Rie-Andro","4836","Salzburg","30","194","Directed","Therese Rie-Andro–Salzburg","1"
"Therese Rie-Andro","4836","IV., Wieden","54","2","Directed","Therese Rie-Andro–IV., Wieden","1"
"Therese Rie-Andro","4836","Deutschland","151","97","Directed","Therese Rie-Andro–Deutschland","1"
"Therese Rie-Andro","4836","Berlin","168","570","Directed","Therese Rie-Andro–Berlin","1"
"Therese Rie-Andro","4836","England","254","24","Directed","Therese Rie-Andro–England","1"
"Therese Rie-Andro","4836","Neapel","595","14","Directed","Therese Rie-Andro–Neapel","1"
"Therese Rie-Andro","4836","Leipzig","864","29","Directed","Therese Rie-Andro–Leipzig","1"
"Therese Rie-Andro","4836","Dresden","866","27","Directed","Therese Rie-Andro–Dresden","1"
"Therese Rie-Andro","4836","Italien","40306","71","Directed","Therese Rie-Andro–Italien","1"
"Therese Rie-Andro","4836","Wienerwald","40876","4","Directed","Therese Rie-Andro–Wienerwald","1"
"Therese Rie-Andro","4836","Österreich","41240","219","Directed","Therese Rie-Andro–Österreich","1"
"Therese Rie-Andro","4836","Dänemark","43570","71","Directed","Therese Rie-Andro–Dänemark","1"
"Therese Rie-Andro","4836","New York City","44053","7","Directed","Therese Rie-Andro–New York City","1"
"Therese Rie-Andro","4836","München","45258","154","Directed","Therese Rie-Andro–München","1"
"Therese Rie-Andro","4836","Newa","55891","1","Directed","Therese Rie-Andro–Newa","1"
