Source,SourceID,Lat-Long-Sender,Target,TargetID,Lat-Long-Receiver,Type,Label,Weight
"Wien","50","48,2066 16,37341","Wien","50","48,2066 16,37341","Directed","Wien–Wien","1337"
"Rodaun","173","48,132793312328 16,256152195922","Wien","50","48,2066 16,37341","Directed","Rodaun–Wien","88"
"Berlin","168","52,52437 13,41053","Wien","50","48,2066 16,37341","Directed","Berlin–Wien","239"
"Salzburg","30","47,80067 13,04532","Wien","50","48,2066 16,37341","Directed","Salzburg–Wien","28"
"Paris","182","48,85341 2,3488","Wien","50","48,2066 16,37341","Directed","Paris–Wien","152"
"Venedig","462","45,43713 12,33265","Venedig","462","45,43713 12,33265","Directed","Venedig–Venedig","1"
"Unbekannt","nicht vorhanden","nicht vorhanden","Wien","50","48,2066 16,37341","Directed","Unbekannt–Wien","91"
"Isola Bella","89841","45,89556 8,52676","Wien","50","48,2066 16,37341","Directed","Isola Bella–Wien","1"
"München","45258","48,13743 11,57549","Wien","50","48,2066 16,37341","Directed","München–Wien","51"
"Venedig","462","45,43713 12,33265","Wien","50","48,2066 16,37341","Directed","Venedig–Wien","20"
"Wien","50","48,2066 16,37341","Unbekannt","nicht vorhanden","nicht vorhanden","Directed","Wien–Unbekannt","114"
"Berlin","168","52,52437 13,41053","Bad Ischl","213","47,71109 13,61893","Directed","Berlin–Bad Ischl","2"
"Bologna","896","44,49381 11,33875","Lugano","885","46,01008 8,96004","Directed","Bologna–Lugano","1"
"Kairo","839","30,06263 31,24967","Wien","50","48,2066 16,37341","Directed","Kairo–Wien","1"
"Wien","50","48,2066 16,37341","Berlin","168","52,52437 13,41053","Directed","Wien–Berlin","57"
"Dießen am Ammersee","39453","47,950839 11,103059","Unbekannt","nicht vorhanden","nicht vorhanden","Directed","Dießen am Ammersee–Unbekannt","1"
"Bad Tölz","424","47,76111 11,5589","Wien","50","48,2066 16,37341","Directed","Bad Tölz–Wien","5"
"Bad Ischl","213","47,71109 13,61893","Wien","50","48,2066 16,37341","Directed","Bad Ischl–Wien","41"
"Seis am Schlern","988","46,54133 11,55868","Unbekannt","nicht vorhanden","nicht vorhanden","Directed","Seis am Schlern–Unbekannt","1"
"Bern","1223","46,9489 7,4638","Wien","50","48,2066 16,37341","Directed","Bern–Wien","5"
"Wien","50","48,2066 16,37341","Bad Aussee","415","47,60998 13,78243","Directed","Wien–Bad Aussee","13"
"Seis am Schlern","988","46,54133 11,55868","Sils im Engadin","40516","46,41603 9,77504","Directed","Seis am Schlern–Sils im Engadin","1"
"Wien","50","48,2066 16,37341","Neubeuern","33996","47,77368 12,14002","Directed","Wien–Neubeuern","1"
"Wien","50","48,2066 16,37341","St. Gilgen","33","47,76667 13,36667","Directed","Wien–St. Gilgen","2"
"Wien","50","48,2066 16,37341","Bad Ischl","213","47,71109 13,61893","Directed","Wien–Bad Ischl","50"
"Föderlach","45268","46,59139 13,98139","Vahrn","946","46,73901 11,63749","Directed","Föderlach–Vahrn","1"
"Strobl","895","47,71667 13,48333","Wien","50","48,2066 16,37341","Directed","Strobl–Wien","5"
"Skodsborg","958","55,8225 12,57324","Rodaun","173","48,132793312328 16,256152195922","Directed","Skodsborg–Rodaun","1"
"Zürich","484","47,37174 8,54226","Wien","50","48,2066 16,37341","Directed","Zürich–Wien","10"
"Kopenhagen","36300","55,67594 12,56553","Wien","50","48,2066 16,37341","Directed","Kopenhagen–Wien","27"
"Blankenese","1226","53,5652 9,7972","Wien","50","48,2066 16,37341","Directed","Blankenese–Wien","2"
"Pörtschach","44278","47,02251 14,47783","Wien","50","48,2066 16,37341","Directed","Pörtschach–Wien","3"
"Le Mont-Saint-Michel","134981","48,635833 -1,510556","Bad Ischl","213","47,71109 13,61893","Directed","Le Mont-Saint-Michel–Bad Ischl","1"
"Berlin","168","52,52437 13,41053","Berlin","168","52,52437 13,41053","Directed","Berlin–Berlin","17"
"Neubeuern","33996","47,77368 12,14002","Wien","50","48,2066 16,37341","Directed","Neubeuern–Wien","2"
