pmb11485year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,1,0
1889,0,0,8,0
1890,0,0,6,0
1891,0,0,20,0
1892,0,0,9,0
1893,0,0,23,1
1894,1,0,27,0
1895,0,0,38,0
1896,3,0,35,1
1897,0,0,39,0
1898,0,0,30,1
1899,1,0,39,0
1900,2,2,47,0
1901,0,8,48,0
1902,0,4,46,0
1903,0,1,33,0
1904,0,0,19,0
1905,0,0,8,0
1906,0,0,13,0
1907,1,0,8,0
1908,0,0,8,0
1909,0,0,5,0
1910,0,0,4,0
1911,1,0,2,2
1912,0,0,0,0
1913,0,0,0,0
1914,0,0,0,0
1915,0,0,1,0
1916,0,0,0,0
1917,0,0,0,0
1918,0,0,0,0
1919,0,0,0,0
1920,0,0,0,0
1921,0,0,0,0
1922,0,0,0,0
1923,0,0,0,0
1924,0,0,0,0
1925,1,0,3,1
1926,0,0,0,0
1927,1,0,2,1
1928,0,0,1,0
1929,0,0,0,0
1930,0,0,1,0
1931,0,0,3,0
