year,"erhaltene Korrespondenzstücke","Erwähnungen im Tagebuch"
1885,0,
1886,0,
1887,0,
1888,0,0
1889,0,0
1890,0,1
1891,0,7
1892,5,8
1893,16,32
1894,6,24
1895,6,9
1896,7,20
1897,11,12
1898,13,16
1899,39,27
1900,27,12
1901,14,19
1902,9,38
1903,25,42
1904,27,34
1905,20,36
1906,14,24
1907,7,23
1908,7,14
1909,16,32
1910,13,29
1911,12,20
1912,9,24
1913,19,30
1914,15,35
1915,5,61
1916,4,38
1917,1,38
1918,1,41
1919,3,32
1920,2,23
1921,2,21
1922,6,19
1923,7,32
1924,2,21
1925,8,14
1926,9,26
1927,7,21
1928,7,24
1929,2,16
1930,0,43
1931,0,19
