year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,0,0,0,0
1892,998,0,0,0
1893,3323,0,0,0
1894,831,0,0,0
1895,3065,0,0,0
1896,962,0,0,0
1897,6444,0,0,0
1898,2102,0,0,0
1899,18644,0,0,0
1900,4019,0,0,0
1901,6715,0,0,0
1902,1433,0,0,0
1903,3402,0,0,0
1904,4410,0,0,0
1905,4508,0,0,0
1906,1350,0,0,0
1907,355,0,0,0
1908,867,0,0,0
1909,1504,0,0,0
1910,1477,0,0,0
1911,511,0,0,0
1912,27,0,0,0
1913,1352,0,0,0
1914,659,0,231,0
1915,0,0,0,0
1916,0,0,0,0
1917,0,0,0,0
1918,0,0,0,0
1919,174,0,0,0
1920,1277,0,0,0
1921,0,0,0,0
1922,0,0,0,0
1923,0,0,0,0
1924,0,0,0,0
1925,0,0,0,0
1926,0,0,0,0
1927,0,0,0,0
1928,0,0,0,0
1929,0,0,0,0
1930,0,0,0,0
1931,0,0,0,0
