year,"von Schnitzler","an Schnitzler"
1888,-0,0
1889,-0,0
1890,-0,0
1891,-0,0
1892,-0,0
1893,-0,0
1894,-0,0
1895,-0,0
1896,-0,0
1897,-0,0
1898,-0,0
1899,-0,0
1900,-0,0
1901,-0,0
1902,-0,0
1903,-0,0
1904,-260,0
1905,-0,0
1906,-0,0
1907,-0,0
1908,-938,2930
1909,-590,1913
1910,-952,2120
1911,-1981,5757
1912,-1207,3280
1913,-2601,6958
1914,-7782,9767
1915,-3478,7943
1916,-2127,3361
1917,-2124,9399
1918,-0,0
1919,-333,408
1920,-853,1412
1921,-316,0
1922,-502,179
1923,-4039,3040
1924,-1509,1695
1925,-282,725
1926,-2520,2022
1927,-3816,7240
1928,-5154,10315
1929,-3876,6205
1930,-1312,414
1931,-344,293
