Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Marie von Ebner-Eschenbach","11216","Lieutenant Gustl. Novelle","29853","31","Directed","Marie von Ebner-Eschenbach–Lieutenant Gustl. Novelle","1"
"Therese Rie-Andro","4836","Literatur","29869","16","Directed","Therese Rie-Andro–Literatur","1"
"Ludwig Ganghofer","11402","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Ludwig Ganghofer–Der grüne Kakadu. Groteske in einem Akt","2"
"Adalbert Franz Seligmann","12769","Reigen. Zehn Dialoge","29855","55","Directed","Adalbert Franz Seligmann–Reigen. Zehn Dialoge","2"
"Adalbert Franz Seligmann","12769","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Adalbert Franz Seligmann–Der Schleier der Beatrice. Schauspiel in fünf Akten","1"
"Ferdinand von Saar","12602","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Ferdinand von Saar–Das Märchen. Schauspiel in drei Aufzügen","1"
"Ferdinand von Saar","12602","Lieutenant Gustl. Novelle","29853","31","Directed","Ferdinand von Saar–Lieutenant Gustl. Novelle","1"
"Lou Andreas-Salomé","10762","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Lou Andreas-Salomé–Das Märchen. Schauspiel in drei Aufzügen","2"
"Hermann Bahr","10815","Spaziergang","29819","4","Directed","Hermann Bahr–Spaziergang","4"
"Hermann Bahr","10815","Artifex","29821","5","Directed","Hermann Bahr–Artifex","2"
"Hermann Bahr","10815","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Hermann Bahr–Das Märchen. Schauspiel in drei Aufzügen","5"
"Hermann Bahr","10815","Jugend. Ein Liebesdrama","29825","1","Directed","Hermann Bahr–Jugend. Ein Liebesdrama","1"
"Hermann Bahr","10815","Die Weber. Schauspiel aus den vierziger Jahren","29827","5","Directed","Hermann Bahr–Die Weber. Schauspiel aus den vierziger Jahren","1"
"Hermann Bahr","10815","Das Tschaperl. Ein Wiener Stück in vier Aufzügen","29829","5","Directed","Hermann Bahr–Das Tschaperl. Ein Wiener Stück in vier Aufzügen","5"
"Hermann Bahr","10815","Der Ehrentag","29831","4","Directed","Hermann Bahr–Der Ehrentag","2"
"Hermann Bahr","10815","Die Toten schweigen","29833","12","Directed","Hermann Bahr–Die Toten schweigen","9"
"Hermann Bahr","10815","Bei Beiden","29835","2","Directed","Hermann Bahr–Bei Beiden","2"
"Hermann Bahr","10815","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Hermann Bahr–Der grüne Kakadu. Groteske in einem Akt","6"
"Hermann Bahr","10815","Die Gefährtin. Schauspiel in einem Akt","29845","13","Directed","Hermann Bahr–Die Gefährtin. Schauspiel in einem Akt","5"
"Hermann Bahr","10815","Die Hochzeit der Sobeide","29849","5","Directed","Hermann Bahr–Die Hochzeit der Sobeide","2"
"Hermann Bahr","10815","Der Franzl. Fünf Bilder aus dem Leben eines guten Mannes","29851","3","Directed","Hermann Bahr–Der Franzl. Fünf Bilder aus dem Leben eines guten Mannes","3"
"Hermann Bahr","10815","Lieutenant Gustl. Novelle","29853","31","Directed","Hermann Bahr–Lieutenant Gustl. Novelle","8"
"Hermann Bahr","10815","Reigen. Zehn Dialoge","29855","55","Directed","Hermann Bahr–Reigen. Zehn Dialoge","20"
"Hermann Bahr","10815","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Hermann Bahr–Der Schleier der Beatrice. Schauspiel in fünf Akten","10"
"Hermann Bahr","10815","Marionetten. Drei Einakter","29859","7","Directed","Hermann Bahr–Marionetten. Drei Einakter","2"
"Hermann Bahr","10815","Berliner Theater. »Einsame Menschen« im Deutschen Theater","29861","3","Directed","Hermann Bahr–Berliner Theater. »Einsame Menschen« im Deutschen Theater","1"
"Hermann Bahr","10815","Lebendige Stunden. Vier Einakter","29863","38","Directed","Hermann Bahr–Lebendige Stunden. Vier Einakter","7"
"Hermann Bahr","10815","Die Frau mit dem Dolche","29865","14","Directed","Hermann Bahr–Die Frau mit dem Dolche","6"
"Hermann Bahr","10815","Fastnacht","29867","1","Directed","Hermann Bahr–Fastnacht","1"
"Hermann Bahr","10815","Literatur","29869","16","Directed","Hermann Bahr–Literatur","4"
"Hermann Bahr","10815","Der neue Simson","29871","1","Directed","Hermann Bahr–Der neue Simson","1"
"Hermann Bahr","10815","Der Puppenspieler. Studie in einem Aufzuge","29873","10","Directed","Hermann Bahr–Der Puppenspieler. Studie in einem Aufzuge","9"
