Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Marie Herzfeld","11666","Zwischenspiel. Komödie in drei Akten","29903","26","Directed","Marie Herzfeld–Zwischenspiel. Komödie in drei Akten","2"
"Marie Herzfeld","11666","Der Ruf des Lebens. Schauspiel in drei Akten","29905","34","Directed","Marie Herzfeld–Der Ruf des Lebens. Schauspiel in drei Akten","1"
"Marie Herzfeld","11666","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Marie Herzfeld–Liebelei. Schauspiel in drei Akten","1"
"Marie Herzfeld","11666","Dämmerseelen. Novellen","29921","9","Directed","Marie Herzfeld–Dämmerseelen. Novellen","1"
"Marie Herzfeld","11666","Anatol","29935","96","Directed","Marie Herzfeld–Anatol","2"
"Marie Herzfeld","11666","Der einsame Weg. Schauspiel in fünf Akten","29985","58","Directed","Marie Herzfeld–Der einsame Weg. Schauspiel in fünf Akten","1"
"Marie Herzfeld","11666","Das gerettete Venedig. Trauerspiel in fünf Aufzügen","31091","14","Directed","Marie Herzfeld–Das gerettete Venedig. Trauerspiel in fünf Aufzügen","1"
"Marie Herzfeld","11666","Romeo and Juliet","31213","3","Directed","Marie Herzfeld–Romeo and Juliet","1"
"Marie Herzfeld","11666","Ascanio und Gioconda","31967","6","Directed","Marie Herzfeld–Ascanio und Gioconda","3"
"Marie Herzfeld","11666","Die Frau des Weisen. Novelletten","32460","11","Directed","Marie Herzfeld–Die Frau des Weisen. Novelletten","2"
"Marie Herzfeld","11666","To Forestillinger af Henrik IV","33339","2","Directed","Marie Herzfeld–To Forestillinger af Henrik IV","1"
"Marie Herzfeld","11666","Die neue Rundschau","36156","15","Directed","Marie Herzfeld–Die neue Rundschau","1"
"Marie Herzfeld","11666","Politiken","36357","4","Directed","Marie Herzfeld–Politiken","1"
"Marie Herzfeld","11666","Venice Preserv'd","40069","3","Directed","Marie Herzfeld–Venice Preserv'd","1"
