Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Marie Herzfeld","11666","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Marie Herzfeld–Liebelei. Schauspiel in drei Akten","1"
"Marie Herzfeld","11666","Anatol","29935","96","Directed","Marie Herzfeld–Anatol","2"
"Marie Herzfeld","11666","Der einsame Weg. Schauspiel in fünf Akten","29985","58","Directed","Marie Herzfeld–Der einsame Weg. Schauspiel in fünf Akten","1"
"Marie Herzfeld","11666","Der Ruf des Lebens. Schauspiel in drei Akten","29905","34","Directed","Marie Herzfeld–Der Ruf des Lebens. Schauspiel in drei Akten","1"
"Marie Herzfeld","11666","Zwischenspiel. Komödie in drei Akten","29903","26","Directed","Marie Herzfeld–Zwischenspiel. Komödie in drei Akten","2"
"Marie Herzfeld","11666","Die neue Rundschau","36156","15","Directed","Marie Herzfeld–Die neue Rundschau","1"
"Marie Herzfeld","11666","Das gerettete Venedig. Trauerspiel in fünf Aufzügen","31091","14","Directed","Marie Herzfeld–Das gerettete Venedig. Trauerspiel in fünf Aufzügen","1"
"Marie Herzfeld","11666","Die Frau des Weisen. Novelletten","32460","11","Directed","Marie Herzfeld–Die Frau des Weisen. Novelletten","2"
"Marie Herzfeld","11666","Dämmerseelen. Novellen","29921","9","Directed","Marie Herzfeld–Dämmerseelen. Novellen","1"
"Auguste Hauschner","2524","Der Weg ins Freie. Roman","29923","47","Directed","Auguste Hauschner–Der Weg ins Freie. Roman","3"
"Marie von Ebner-Eschenbach","11216","Lieutenant Gustl. Novelle","29853","31","Directed","Marie von Ebner-Eschenbach–Lieutenant Gustl. Novelle","1"
"Therese Rie-Andro","4836","Der einsame Weg. Schauspiel in fünf Akten","29985","58","Directed","Therese Rie-Andro–Der einsame Weg. Schauspiel in fünf Akten","1"
"Therese Rie-Andro","4836","Der Weg ins Freie. Roman","29923","47","Directed","Therese Rie-Andro–Der Weg ins Freie. Roman","1"
"Therese Rie-Andro","4836","Das weite Land. Tragikomödie in fünf Akten","30207","30","Directed","Therese Rie-Andro–Das weite Land. Tragikomödie in fünf Akten","1"
"Therese Rie-Andro","4836","Professor Bernhardi. Komödie in fünf Akten","30203","18","Directed","Therese Rie-Andro–Professor Bernhardi. Komödie in fünf Akten","3"
"Therese Rie-Andro","4836","Literatur","29869","16","Directed","Therese Rie-Andro–Literatur","1"
"Therese Rie-Andro","4836","Buch der Sprüche und Bedenken","30053","14","Directed","Therese Rie-Andro–Buch der Sprüche und Bedenken","1"
"Therese Rie-Andro","4836","Casanovas Heimfahrt","30971","11","Directed","Therese Rie-Andro–Casanovas Heimfahrt","1"
"Therese Rie-Andro","4836","Fink und Fliederbusch. Komödie in drei Akten","30881","10","Directed","Therese Rie-Andro–Fink und Fliederbusch. Komödie in drei Akten","2"
"Therese Rie-Andro","4836","Der Geist im Wort und der Geist in der Tat","30051","8","Directed","Therese Rie-Andro–Der Geist im Wort und der Geist in der Tat","1"
"Therese Rie-Andro","4836","Tristan und Isolde","29897","7","Directed","Therese Rie-Andro–Tristan und Isolde","1"
"Therese Rie-Andro","4836","Paracelsus. Versspiel in einem Akt","30403","7","Directed","Therese Rie-Andro–Paracelsus. Versspiel in einem Akt","1"
"Ludwig Ganghofer","11402","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Ludwig Ganghofer–Der grüne Kakadu. Groteske in einem Akt","2"
"Adalbert Franz Seligmann","12769","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Adalbert Franz Seligmann–Der Schleier der Beatrice. Schauspiel in fünf Akten","1"
"Adalbert Franz Seligmann","12769","Reigen. Zehn Dialoge","29855","55","Directed","Adalbert Franz Seligmann–Reigen. Zehn Dialoge","2"
"Adalbert Franz Seligmann","12769","Zwischenspiel. Komödie in drei Akten","29903","26","Directed","Adalbert Franz Seligmann–Zwischenspiel. Komödie in drei Akten","1"
"Ferdinand von Saar","12602","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Ferdinand von Saar–Liebelei. Schauspiel in drei Akten","1"
"Ferdinand von Saar","12602","Anatol","29935","96","Directed","Ferdinand von Saar–Anatol","1"
"Ferdinand von Saar","12602","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Ferdinand von Saar–Das Märchen. Schauspiel in drei Aufzügen","1"
"Ferdinand von Saar","12602","Sterben. Novelle","30117","52","Directed","Ferdinand von Saar–Sterben. Novelle","1"
"Ferdinand von Saar","12602","Lieutenant Gustl. Novelle","29853","31","Directed","Ferdinand von Saar–Lieutenant Gustl. Novelle","1"
"Ferdinand von Saar","12602","Frau Bertha Garlan. Roman","30486","30","Directed","Ferdinand von Saar–Frau Bertha Garlan. Roman","1"
"Ferdinand von Saar","12602","Alkandi’s Lied","31637","14","Directed","Ferdinand von Saar–Alkandi’s Lied","1"
"Robert Adam","12438","Das weite Land. Tragikomödie in fünf Akten","30207","30","Directed","Robert Adam–Das weite Land. Tragikomödie in fünf Akten","1"
"Robert Adam","12438","Professor Bernhardi. Komödie in fünf Akten","30203","18","Directed","Robert Adam–Professor Bernhardi. Komödie in fünf Akten","1"
"Robert Adam","12438","Die Schwestern oder Casanova in Spa. Lustspiel in Versen","30819","16","Directed","Robert Adam–Die Schwestern oder Casanova in Spa. Lustspiel in Versen","2"
"Robert Adam","12438","Die neue Rundschau","36156","15","Directed","Robert Adam–Die neue Rundschau","1"
"Robert Adam","12438","Buch der Sprüche und Bedenken","30053","14","Directed","Robert Adam–Buch der Sprüche und Bedenken","1"
"Robert Adam","12438","Faust. Eine Tragödie","30247","12","Directed","Robert Adam–Faust. Eine Tragödie","1"
"Robert Adam","12438","Neidhard","33580","12","Directed","Robert Adam–Neidhard","12"
"Robert Adam","12438","Casanovas Heimfahrt","30971","11","Directed","Robert Adam–Casanovas Heimfahrt","1"
"Robert Adam","12438","Fink und Fliederbusch. Komödie in drei Akten","30881","10","Directed","Robert Adam–Fink und Fliederbusch. Komödie in drei Akten","1"
"Robert Adam","12438","Die Geschichte des Alî ibn Bekkâr mit Schams an-Nahâr","33578","10","Directed","Robert Adam–Die Geschichte des Alî ibn Bekkâr mit Schams an-Nahâr","10"
"Robert Adam","12438","Der Fremde","33606","10","Directed","Robert Adam–Der Fremde","10"
"Robert Adam","12438","Der Geist im Wort und der Geist in der Tat","30051","8","Directed","Robert Adam–Der Geist im Wort und der Geist in der Tat","2"
"Robert Adam","12438","Fatme","33582","8","Directed","Robert Adam–Fatme","8"
"Robert Adam","12438","Yppl. Idylle in fünf Akten","33604","8","Directed","Robert Adam–Yppl. Idylle in fünf Akten","8"
