Source,Target,Type,Label,Weight
"Hermann Bahr","Reigen. Zehn Dialoge","Directed","Hermann Bahr–Reigen. Zehn Dialoge","20"
"Hermann Bahr","Der einsame Weg. Schauspiel in fünf Akten","Directed","Hermann Bahr–Der einsame Weg. Schauspiel in fünf Akten","11"
"Hermann Bahr","Der Schleier der Beatrice. Schauspiel in fünf Akten","Directed","Hermann Bahr–Der Schleier der Beatrice. Schauspiel in fünf Akten","10"
"Hermann Bahr","Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","Directed","Hermann Bahr–Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","10"
"Hermann Bahr","Die Toten schweigen","Directed","Hermann Bahr–Die Toten schweigen","9"
"Hermann Bahr","Der Puppenspieler. Studie in einem Aufzuge","Directed","Hermann Bahr–Der Puppenspieler. Studie in einem Aufzuge","9"
"Hermann Bahr","Der Ruf des Lebens. Schauspiel in drei Akten","Directed","Hermann Bahr–Der Ruf des Lebens. Schauspiel in drei Akten","9"
"Hermann Bahr","Liebelei. Schauspiel in drei Akten","Directed","Hermann Bahr–Liebelei. Schauspiel in drei Akten","9"
"Hermann Bahr","Lieutenant Gustl. Novelle","Directed","Hermann Bahr–Lieutenant Gustl. Novelle","8"
"Hermann Bahr","Die Frau des Weisen. Erzählung","Directed","Hermann Bahr–Die Frau des Weisen. Erzählung","8"
"Hermann Bahr","Lebendige Stunden. Vier Einakter","Directed","Hermann Bahr–Lebendige Stunden. Vier Einakter","7"
"Hermann Bahr","Zwischenspiel. Komödie in drei Akten","Directed","Hermann Bahr–Zwischenspiel. Komödie in drei Akten","7"
"Hermann Bahr","Der grüne Kakadu. Groteske in einem Akt","Directed","Hermann Bahr–Der grüne Kakadu. Groteske in einem Akt","6"
"Hermann Bahr","Die Frau mit dem Dolche","Directed","Hermann Bahr–Die Frau mit dem Dolche","6"
"Hermann Bahr","Anatol","Directed","Hermann Bahr–Anatol","6"
"Hermann Bahr","Das Märchen. Schauspiel in drei Aufzügen","Directed","Hermann Bahr–Das Märchen. Schauspiel in drei Aufzügen","5"
"Hermann Bahr","Das Tschaperl. Ein Wiener Stück in vier Aufzügen","Directed","Hermann Bahr–Das Tschaperl. Ein Wiener Stück in vier Aufzügen","5"
"Hermann Bahr","Die Gefährtin. Schauspiel in einem Akt","Directed","Hermann Bahr–Die Gefährtin. Schauspiel in einem Akt","5"
"Hermann Bahr","Der Meister. Komödie in drei Akten","Directed","Hermann Bahr–Der Meister. Komödie in drei Akten","5"
"Hermann Bahr","Die gelbe Nachtigall","Directed","Hermann Bahr–Die gelbe Nachtigall","5"
"Hermann Bahr","Spaziergang","Directed","Hermann Bahr–Spaziergang","4"
"Hermann Bahr","Literatur","Directed","Hermann Bahr–Literatur","4"
"Hermann Bahr","Die letzten Masken","Directed","Hermann Bahr–Die letzten Masken","4"
"Hermann Bahr","Tristan und Isolde","Directed","Hermann Bahr–Tristan und Isolde","4"
"Hermann Bahr","Freiwild. Schauspiel in 3 Akten","Directed","Hermann Bahr–Freiwild. Schauspiel in 3 Akten","4"
"Hermann Bahr","Das Konzert. Lustspiel in drei Akten","Directed","Hermann Bahr–Das Konzert. Lustspiel in drei Akten","4"
"Hermann Bahr","Der arme Narr. Lustspiel in einem Akt","Directed","Hermann Bahr–Der arme Narr. Lustspiel in einem Akt","4"
"Hermann Bahr","Brehms Tierleben","Directed","Hermann Bahr–Brehms Tierleben","4"
"Hermann Bahr","Später Ruhm","Directed","Hermann Bahr–Später Ruhm","4"
"Hermann Bahr","Neues Wiener Journal","Directed","Hermann Bahr–Neues Wiener Journal","4"
