Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Hermann Bahr","10815","Reigen. Zehn Dialoge","29855","55","Directed","Hermann Bahr–Reigen. Zehn Dialoge","20"
"Hermann Bahr","10815","Der einsame Weg. Schauspiel in fünf Akten","29985","58","Directed","Hermann Bahr–Der einsame Weg. Schauspiel in fünf Akten","11"
"Hermann Bahr","10815","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Hermann Bahr–Der Schleier der Beatrice. Schauspiel in fünf Akten","10"
"Hermann Bahr","10815","Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","29937","40","Directed","Hermann Bahr–Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","10"
"Hermann Bahr","10815","Die Toten schweigen","29833","12","Directed","Hermann Bahr–Die Toten schweigen","9"
"Hermann Bahr","10815","Der Puppenspieler. Studie in einem Aufzuge","29873","10","Directed","Hermann Bahr–Der Puppenspieler. Studie in einem Aufzuge","9"
"Hermann Bahr","10815","Der Ruf des Lebens. Schauspiel in drei Akten","29905","34","Directed","Hermann Bahr–Der Ruf des Lebens. Schauspiel in drei Akten","9"
"Hermann Bahr","10815","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Hermann Bahr–Liebelei. Schauspiel in drei Akten","9"
"Hermann Bahr","10815","Lieutenant Gustl. Novelle","29853","31","Directed","Hermann Bahr–Lieutenant Gustl. Novelle","8"
"Hermann Bahr","10815","Die Frau des Weisen. Erzählung","30075","12","Directed","Hermann Bahr–Die Frau des Weisen. Erzählung","8"
"Hermann Bahr","10815","Lebendige Stunden. Vier Einakter","29863","38","Directed","Hermann Bahr–Lebendige Stunden. Vier Einakter","7"
"Hermann Bahr","10815","Zwischenspiel. Komödie in drei Akten","29903","26","Directed","Hermann Bahr–Zwischenspiel. Komödie in drei Akten","7"
"Hermann Bahr","10815","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Hermann Bahr–Der grüne Kakadu. Groteske in einem Akt","6"
"Hermann Bahr","10815","Die Frau mit dem Dolche","29865","14","Directed","Hermann Bahr–Die Frau mit dem Dolche","6"
"Hermann Bahr","10815","Anatol","29935","96","Directed","Hermann Bahr–Anatol","6"
"Hermann Bahr","10815","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Hermann Bahr–Das Märchen. Schauspiel in drei Aufzügen","5"
"Hermann Bahr","10815","Das Tschaperl. Ein Wiener Stück in vier Aufzügen","29829","5","Directed","Hermann Bahr–Das Tschaperl. Ein Wiener Stück in vier Aufzügen","5"
"Hermann Bahr","10815","Die Gefährtin. Schauspiel in einem Akt","29845","13","Directed","Hermann Bahr–Die Gefährtin. Schauspiel in einem Akt","5"
"Hermann Bahr","10815","Der Meister. Komödie in drei Akten","29983","5","Directed","Hermann Bahr–Der Meister. Komödie in drei Akten","5"
"Hermann Bahr","10815","Die gelbe Nachtigall","30021","6","Directed","Hermann Bahr–Die gelbe Nachtigall","5"
"Hermann Bahr","10815","Spaziergang","29819","4","Directed","Hermann Bahr–Spaziergang","4"
"Hermann Bahr","10815","Literatur","29869","16","Directed","Hermann Bahr–Literatur","4"
"Hermann Bahr","10815","Die letzten Masken","29877","11","Directed","Hermann Bahr–Die letzten Masken","4"
"Hermann Bahr","10815","Tristan und Isolde","29897","7","Directed","Hermann Bahr–Tristan und Isolde","4"
"Hermann Bahr","10815","Freiwild. Schauspiel in 3 Akten","29899","62","Directed","Hermann Bahr–Freiwild. Schauspiel in 3 Akten","4"
"Hermann Bahr","10815","Das Konzert. Lustspiel in drei Akten","29933","4","Directed","Hermann Bahr–Das Konzert. Lustspiel in drei Akten","4"
"Hermann Bahr","10815","Der arme Narr. Lustspiel in einem Akt","30001","4","Directed","Hermann Bahr–Der arme Narr. Lustspiel in einem Akt","4"
"Hermann Bahr","10815","Brehms Tierleben","30011","4","Directed","Hermann Bahr–Brehms Tierleben","4"
"Hermann Bahr","10815","Später Ruhm","30073","7","Directed","Hermann Bahr–Später Ruhm","4"
"Hermann Bahr","10815","Neues Wiener Journal","36376","4","Directed","Hermann Bahr–Neues Wiener Journal","4"
