Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Oskar Blumenthal","14328","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Oskar Blumenthal–Das Märchen. Schauspiel in drei Aufzügen","5"
"Oskar Blumenthal","14328","Anatol","29935","96","Directed","Oskar Blumenthal–Anatol","2"
"Oskar Blumenthal","14328","Abschiedssouper","30005","23","Directed","Oskar Blumenthal–Abschiedssouper","1"
"Oskar Blumenthal","14328","Denksteine","30145","3","Directed","Oskar Blumenthal–Denksteine","1"
"Oskar Blumenthal","14328","Agonie","30159","3","Directed","Oskar Blumenthal–Agonie","1"
"Oskar Blumenthal","14328","Weihnachts-Einkäufe","30163","7","Directed","Oskar Blumenthal–Weihnachts-Einkäufe","1"
"Oskar Blumenthal","14328","Die Frage an das Schicksal","30749","12","Directed","Oskar Blumenthal–Die Frage an das Schicksal","1"
"Oskar Blumenthal","14328","Niobe","31155","1","Directed","Oskar Blumenthal–Niobe","1"
"Oskar Blumenthal","14328","Episode","31357","9","Directed","Oskar Blumenthal–Episode","1"
"Oskar Blumenthal","14328","Morituri","32312","1","Directed","Oskar Blumenthal–Morituri","1"
"Oskar Blumenthal","14328","Der Eisenfresser","35020","1","Directed","Oskar Blumenthal–Der Eisenfresser","1"
